stride,offset,query_index,sequence_id,sample_id,appearances
1,0,144,seq0001,seq0001_g000144,8
1,0,145,seq0001,seq0001_g000145,8
1,0,146,seq0001,seq0001_g000146,8
1,0,147,seq0001,seq0001_g000147,8
1,0,148,seq0001,seq0001_g000148,8
1,0,149,seq0001,seq0001_g000149,8
1,0,150,seq0001,seq0001_g000150,8
1,0,151,seq0001,seq0001_g000151,8
1,0,152,seq0001,seq0001_g000152,8
1,0,153,seq0001,seq0001_g000153,8
1,0,154,seq0001,seq0001_g000154,8
1,0,155,seq0001,seq0001_g000155,8
1,0,156,seq0001,seq0001_g000156,8
1,0,157,seq0001,seq0001_g000157,8
1,0,158,seq0001,seq0001_g000158,8
1,0,159,seq0001,seq0001_g000159,8
1,0,160,seq0001,seq0001_g000160,8
1,0,161,seq0001,seq0001_g000161,8
1,0,162,seq0001,seq0001_g000162,8
1,0,163,seq0001,seq0001_g000163,8
1,0,164,seq0001,seq0001_g000164,8
1,0,165,seq0001,seq0001_g000165,8
1,0,166,seq0001,seq0001_g000166,8
1,0,167,seq0001,seq0001_g000167,8
1,0,168,seq0001,seq0001_g000168,8
1,0,169,seq0001,seq0001_g000169,8
1,0,170,seq0001,seq0001_g000170,8
1,0,171,seq0001,seq0001_g000171,8
1,0,172,seq0001,seq0001_g000172,8
1,0,173,seq0001,seq0001_g000173,8
1,0,174,seq0001,seq0001_g000174,8
1,0,175,seq0001,seq0001_g000175,8
1,0,176,seq0001,seq0001_g000176,8
1,0,177,seq0001,seq0001_g000177,8
1,0,178,seq0001,seq0001_g000178,8
1,0,179,seq0001,seq0001_g000179,8
1,0,180,seq0001,seq0001_g000180,8
1,0,181,seq0001,seq0001_g000181,8
1,0,182,seq0001,seq0001_g000182,8
1,0,183,seq0001,seq0001_g000183,8
1,0,184,seq0001,seq0001_g000184,8
1,0,185,seq0001,seq0001_g000185,8
1,0,186,seq0001,seq0001_g000186,8
1,0,187,seq0001,seq0001_g000187,8
1,0,188,seq0001,seq0001_g000188,8
1,0,189,seq0001,seq0001_g000189,8
1,0,190,seq0001,seq0001_g000190,8
1,0,191,seq0001,seq0001_g000191,8
1,0,192,seq0001,seq0001_g000192,8
1,0,193,seq0001,seq0001_g000193,8
1,0,194,seq0001,seq0001_g000194,8
1,0,195,seq0001,seq0001_g000195,8
1,0,196,seq0001,seq0001_g000196,8
1,0,197,seq0001,seq0001_g000197,8
1,0,198,seq0001,seq0001_g000198,8
1,0,199,seq0001,seq0001_g000199,8
1,0,200,seq0001,seq0001_g000200,8
1,0,201,seq0001,seq0001_g000201,8
1,0,202,seq0001,seq0001_g000202,8
1,0,203,seq0001,seq0001_g000203,8
1,0,204,seq0001,seq0001_g000204,8
1,0,205,seq0001,seq0001_g000205,8
1,0,206,seq0001,seq0001_g000206,8
1,0,207,seq0001,seq0001_g000207,8
1,0,208,seq0001,seq0001_g000208,8
1,0,209,seq0001,seq0001_g000209,8
1,0,210,seq0001,seq0001_g000210,8
1,0,211,seq0001,seq0001_g000211,8
1,0,212,seq0001,seq0001_g000212,8
1,0,213,seq0001,seq0001_g000213,8
1,0,214,seq0001,seq0001_g000214,8
1,0,215,seq0001,seq0001_g000215,8
1,0,216,seq0001,seq0001_g000216,8
1,0,217,seq0001,seq0001_g000217,8
1,0,218,seq0001,seq0001_g000218,8
1,0,219,seq0001,seq0001_g000219,8
1,0,220,seq0001,seq0001_g000220,8
1,0,221,seq0001,seq0001_g000221,8
1,0,222,seq0001,seq0001_g000222,8
1,0,223,seq0001,seq0001_g000223,8
1,0,224,seq0001,seq0001_g000224,8
1,0,225,seq0001,seq0001_g000225,8
1,0,226,seq0001,seq0001_g000226,8
1,0,227,seq0001,seq0001_g000227,8
1,0,228,seq0001,seq0001_g000228,8
1,0,229,seq0001,seq0001_g000229,8
1,0,230,seq0001,seq0001_g000230,8
1,0,231,seq0001,seq0001_g000231,8
1,0,232,seq0001,seq0001_g000232,8
1,0,233,seq0001,seq0001_g000233,8
1,0,234,seq0001,seq0001_g000234,8
1,0,235,seq0001,seq0001_g000235,8
1,0,236,seq0001,seq0001_g000236,8
1,0,237,seq0001,seq0001_g000237,8
1,0,238,seq0001,seq0001_g000238,8
1,0,239,seq0001,seq0001_g000239,8
1,0,240,seq0001,seq0001_g000240,8
1,0,241,seq0001,seq0001_g000241,8
1,0,242,seq0001,seq0001_g000242,8
1,0,243,seq0001,seq0001_g000243,8
1,0,244,seq0001,seq0001_g000244,8
1,0,245,seq0001,seq0001_g000245,8
1,0,246,seq0001,seq0001_g000246,8
1,0,247,seq0001,seq0001_g000247,8
1,0,248,seq0001,seq0001_g000248,8
1,0,249,seq0001,seq0001_g000249,8
1,0,250,seq0001,seq0001_g000250,8
1,0,251,seq0001,seq0001_g000251,8
1,0,252,seq0001,seq0001_g000252,8
1,0,253,seq0001,seq0001_g000253,8
1,0,254,seq0001,seq0001_g000254,8
1,0,255,seq0001,seq0001_g000255,8
1,0,256,seq0001,seq0001_g000256,8
1,0,257,seq0001,seq0001_g000257,8
1,0,258,seq0001,seq0001_g000258,8
1,0,259,seq0001,seq0001_g000259,8
1,0,260,seq0001,seq0001_g000260,8
1,0,261,seq0001,seq0001_g000261,8
1,0,262,seq0001,seq0001_g000262,8
1,0,263,seq0001,seq0001_g000263,8
1,0,264,seq0001,seq0001_g000264,8
1,0,265,seq0001,seq0001_g000265,8
1,0,266,seq0001,seq0001_g000266,8
1,0,267,seq0001,seq0001_g000267,8
1,0,268,seq0001,seq0001_g000268,8
1,0,269,seq0001,seq0001_g000269,8
1,0,270,seq0001,seq0001_g000270,8
1,0,271,seq0001,seq0001_g000271,8
1,0,272,seq0001,seq0001_g000272,8
1,0,273,seq0001,seq0001_g000273,8
1,0,274,seq0001,seq0001_g000274,8
1,0,275,seq0001,seq0001_g000275,8
1,0,276,seq0001,seq0001_g000276,8
1,0,277,seq0001,seq0001_g000277,8
1,0,278,seq0001,seq0001_g000278,8
1,0,279,seq0001,seq0001_g000279,8
1,0,280,seq0001,seq0001_g000280,8
1,0,281,seq0001,seq0001_g000281,8
1,0,282,seq0001,seq0001_g000282,8
1,0,283,seq0001,seq0001_g000283,8
1,0,284,seq0001,seq0001_g000284,8
1,0,285,seq0001,seq0001_g000285,8
1,0,286,seq0001,seq0001_g000286,8
1,0,287,seq0001,seq0001_g000287,8
1,0,288,seq0001,seq0001_g000288,8
1,0,289,seq0001,seq0001_g000289,8
1,0,290,seq0001,seq0001_g000290,8
1,0,291,seq0001,seq0001_g000291,8
1,0,292,seq0001,seq0001_g000292,8
1,0,293,seq0001,seq0001_g000293,8
1,0,294,seq0001,seq0001_g000294,8
1,0,295,seq0001,seq0001_g000295,8
1,0,296,seq0001,seq0001_g000296,8
1,0,297,seq0001,seq0001_g000297,8
1,0,298,seq0001,seq0001_g000298,8
1,0,299,seq0001,seq0001_g000299,8
1,0,300,seq0001,seq0001_g000300,8
1,0,301,seq0001,seq0001_g000301,8
1,0,302,seq0001,seq0001_g000302,8
