method,center_error_mean_px,center_error_median_px,position_error_mean_m,position_error_median_m,mae_x_m,mae_y_m,mae_z_m,gain_2d,gain_3d
global_mean,48.48400105147028,46.14960127869079,8.252889520812985,7.618742805849684,1.4680009804982486,4.777037949222034,5.824692943871753,0.0,0.0
sequence_mean,54.24895816867407,53.98298659186721,8.510241168656288,7.689922154677725,1.537285008324642,4.96695374840669,5.771024255491345,-0.11890431878927976,-0.031183217368206284
nearest_train_time,51.60879518006178,46.96221088502131,4.824053220837817,3.8031197160942334,1.5569099836907312,4.510786144387127,0.13764495030202709,-0.064450005379594,0.4154710045891171
linear_interpolation,46.90987411788116,45.51704227264532,4.559964444485474,3.3997427893893475,1.4424727156618902,4.226965996231855,0.4264608406331923,0.03246693547254975,0.4474705576773218
background_only,47.25378675182612,35.07514218766567,4.575748632924416,4.5424210365644955,1.109223956381341,3.6143920550953195,1.8862617061798832,0.025373613418128826,0.4455579925812865
