support_age_bucket,sample_count,top1_success_0p5m,top1_success_1m,top1_success_2m,median_error_m,p90_error_m,p95_error_m,catastrophic_rate_gt5m,raw_top10_success_1m,nms_top10_success_1m
0-0.05s,614,0.7899022801302932,0.9478827361563518,0.9543973941368078,0.30448760092258453,0.7198428750038147,1.0139743506908419,0.04560260586319218,0.9771986970684039,0.9820846905537459
0.05-0.10s,642,0.7663551401869159,0.9532710280373832,0.9641744548286605,0.2893060892820358,0.7247781693935393,0.9406674206256865,0.03582554517133956,0.9875389408099688,0.985981308411215
0.10-0.20s,133,0.6541353383458647,0.9022556390977443,0.9172932330827067,0.3345739245414734,0.926071536540985,29.510168838500977,0.08270676691729323,0.9699248120300752,0.9548872180451128
0.20-0.50s,34,0.14705882352941177,0.5294117647058824,0.7647058823529411,0.9435344636440277,29.947109603881835,30.214818382263182,0.23529411764705882,0.8823529411764706,0.7647058823529411
0.50-1.00s,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
>1.00s,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
