anchor_sample_id,anchor_top1_error,sequence_id,neighbor_sample_id,relative_query_index,relative_time_sec,top1_error,current_support,history_has_any_support,last_support_age_sec,total_points,raw_top10_has_gt_1m
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000000,-1,-0.04896974563598633,nan,False,False,nan,0,False
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000001,0,0.0,60.33219528198242,True,True,0.013344526290893555,4111,True
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000002,1,0.04957079887390137,0.4117949604988098,True,True,0.048903465270996094,4216,True
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000003,2,0.10109853744506836,0.34609806537628174,True,True,0.0004792213439941406,8176,True
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000004,3,0.14768314361572266,0.374412477016449,True,True,0.04706382751464844,8176,True
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000005,4,0.1996002197265625,0.2914820611476898,True,True,0.01293492317199707,12153,True
seq0001_valref_000001,60.33219528198242,seq0001,seq0001_valref_000006,5,0.2464306354522705,0.2233492136001587,True,True,0.04573631286621094,12190,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000092,-5,-0.40036582946777344,0.252672404050827,True,True,0.012328147888183594,42724,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000093,-4,-0.3012704849243164,0.19082172214984894,True,True,0.011565446853637695,42773,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000094,-3,-0.23515701293945312,0.15740589797496796,True,True,0.07767891883850098,42773,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000095,-2,-0.1930372714996338,0.21618786454200745,True,True,0.019827604293823242,42832,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000096,-1,-0.14711403846740723,0.19527171552181244,True,True,0.0657508373260498,42832,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000097,0,0.0,8.507891654968262,True,True,0.11270594596862793,42774,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000098,1,0.19971704483032227,8.570204734802246,True,True,0.3124229907989502,42774,True
seq0001_valref_000097,8.507891654968262,seq0001,seq0001_valref_000099,2,0.24536395072937012,8.591014862060547,True,True,0.35806989669799805,42774,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000093,-5,-0.5009875297546387,0.19082172214984894,True,True,0.011565446853637695,42773,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000094,-4,-0.4348740577697754,0.15740589797496796,True,True,0.07767891883850098,42773,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000095,-3,-0.39275431632995605,0.21618786454200745,True,True,0.019827604293823242,42832,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000096,-2,-0.3468310832977295,0.19527171552181244,True,True,0.0657508373260498,42832,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000097,-1,-0.19971704483032227,8.507891654968262,True,True,0.11270594596862793,42774,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000098,0,0.0,8.570204734802246,True,True,0.3124229907989502,42774,True
seq0001_valref_000098,8.570204734802246,seq0001,seq0001_valref_000099,1,0.04564690589904785,8.591014862060547,True,True,0.35806989669799805,42774,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000094,-5,-0.48052096366882324,0.15740589797496796,True,True,0.07767891883850098,42773,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000095,-4,-0.4384012222290039,0.21618786454200745,True,True,0.019827604293823242,42832,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000096,-3,-0.39247798919677734,0.19527171552181244,True,True,0.0657508373260498,42832,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000097,-2,-0.24536395072937012,8.507891654968262,True,True,0.11270594596862793,42774,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000098,-1,-0.04564690589904785,8.570204734802246,True,True,0.3124229907989502,42774,True
seq0001_valref_000099,8.591014862060547,seq0001,seq0001_valref_000099,0,0.0,8.591014862060547,True,True,0.35806989669799805,42774,True
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000100,-1,-0.048005104064941406,nan,False,False,nan,0,False
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000101,0,0.0,47.64065170288086,False,False,nan,4413,False
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000102,1,0.052721500396728516,47.644535064697266,False,False,nan,4413,False
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000103,2,0.10088372230529785,0.8059970736503601,False,False,nan,8957,True
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000104,3,0.15747952461242676,0.8799042701721191,False,False,nan,8957,True
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000105,4,0.20146489143371582,0.4911669194698334,False,False,nan,13345,True
seq0002_valref_000101,47.64065170288086,seq0002,seq0002_valref_000106,5,0.2545619010925293,0.5611300468444824,False,False,nan,13345,True
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000100,-2,-0.10072660446166992,nan,False,False,nan,0,False
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000101,-1,-0.052721500396728516,47.64065170288086,False,False,nan,4413,False
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000102,0,0.0,47.644535064697266,False,False,nan,4413,False
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000103,1,0.048162221908569336,0.8059970736503601,False,False,nan,8957,True
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000104,2,0.10475802421569824,0.8799042701721191,False,False,nan,8957,True
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000105,3,0.1487433910369873,0.4911669194698334,False,False,nan,13345,True
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000106,4,0.20184040069580078,0.5611300468444824,False,False,nan,13345,True
seq0002_valref_000102,47.644535064697266,seq0002,seq0002_valref_000107,5,0.24665141105651855,0.7526553869247437,False,False,nan,17769,True
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000300,-2,-0.09829950332641602,nan,False,False,nan,0,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000301,-1,-0.052010536193847656,nan,False,False,nan,0,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000302,0,0.0,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000303,1,0.04814887046813965,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000304,2,0.10076904296875,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000305,3,0.15105414390563965,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000306,4,0.1992959976196289,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000302,26.92884635925293,seq0004,seq0004_valref_000307,5,0.2483808994293213,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000300,-3,-0.14644837379455566,nan,False,False,nan,0,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000301,-2,-0.1001594066619873,nan,False,False,nan,0,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000302,-1,-0.04814887046813965,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000303,0,0.0,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000304,1,0.05262017250061035,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000305,2,0.1029052734375,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000306,3,0.15114712715148926,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000307,4,0.20023202896118164,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000303,13.736903190612793,seq0004,seq0004_valref_000308,5,0.25687122344970703,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000300,-4,-0.19906854629516602,nan,False,False,nan,0,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000301,-3,-0.15277957916259766,nan,False,False,nan,0,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000302,-2,-0.10076904296875,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000303,-1,-0.05262017250061035,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000304,0,0.0,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000305,1,0.05028510093688965,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000306,2,0.0985269546508789,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000307,3,0.1476118564605713,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000308,4,0.20425105094909668,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000304,62.50901412963867,seq0004,seq0004_valref_000309,5,0.24713563919067383,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000300,-5,-0.24935364723205566,nan,False,False,nan,0,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000301,-4,-0.2030646800994873,nan,False,False,nan,0,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000302,-3,-0.15105414390563965,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000303,-2,-0.1029052734375,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000304,-1,-0.05028510093688965,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000305,0,0.0,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000306,1,0.04824185371398926,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000307,2,0.09732675552368164,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000308,3,0.15396595001220703,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000309,4,0.19685053825378418,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000305,17.107749938964844,seq0004,seq0004_valref_000310,5,0.26603174209594727,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000301,-5,-0.25130653381347656,nan,False,False,nan,0,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000302,-4,-0.1992959976196289,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000303,-3,-0.15114712715148926,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000304,-2,-0.0985269546508789,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000305,-1,-0.04824185371398926,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000306,0,0.0,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000307,1,0.04908490180969238,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000308,2,0.10572409629821777,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000309,3,0.14860868453979492,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000310,4,0.217789888381958,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000306,17.159456253051758,seq0004,seq0004_valref_000311,5,0.30190205574035645,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000302,-5,-0.2483808994293213,26.92884635925293,False,False,nan,4267,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000303,-4,-0.20023202896118164,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000304,-3,-0.1476118564605713,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000305,-2,-0.09732675552368164,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000306,-1,-0.04908490180969238,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000307,0,0.0,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000308,1,0.05663919448852539,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000309,2,0.09952378273010254,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000310,3,0.16870498657226562,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000311,4,0.25281715393066406,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000307,17.2591552734375,seq0004,seq0004_valref_000312,5,0.3003408908843994,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000303,-5,-0.25687122344970703,13.736903190612793,False,False,nan,4267,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000304,-4,-0.20425105094909668,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000305,-3,-0.15396595001220703,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000306,-2,-0.10572409629821777,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000307,-1,-0.05663919448852539,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000308,0,0.0,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000309,1,0.04288458824157715,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000310,2,0.11206579208374023,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000311,3,0.19617795944213867,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000312,4,0.24370169639587402,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000308,26.49396324157715,seq0004,seq0004_valref_000313,5,0.2965118885040283,26.278806686401367,False,False,nan,31167,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000304,-5,-0.24713563919067383,62.50901412963867,False,False,nan,8858,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000305,-4,-0.19685053825378418,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000306,-3,-0.14860868453979492,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000307,-2,-0.09952378273010254,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000308,-1,-0.04288458824157715,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000309,0,0.0,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000310,1,0.06918120384216309,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000311,2,0.15329337120056152,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000312,3,0.20081710815429688,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000313,4,0.25362730026245117,26.278806686401367,False,False,nan,31167,False
seq0004_valref_000309,26.56057357788086,seq0004,seq0004_valref_000314,5,0.30144834518432617,26.337905883789062,False,False,nan,31167,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000305,-5,-0.26603174209594727,17.107749938964844,False,False,nan,13277,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000306,-4,-0.217789888381958,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000307,-3,-0.16870498657226562,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000308,-2,-0.11206579208374023,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000309,-1,-0.06918120384216309,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000310,0,0.0,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000311,1,0.08411216735839844,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000312,2,0.1316359043121338,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000313,3,0.18444609642028809,26.278806686401367,False,False,nan,31167,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000314,4,0.23226714134216309,26.337905883789062,False,False,nan,31167,False
seq0004_valref_000310,26.646581649780273,seq0004,seq0004_valref_000315,5,0.28676462173461914,63.21643829345703,False,False,nan,35807,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000306,-5,-0.30190205574035645,17.159456253051758,False,False,nan,13277,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000307,-4,-0.25281715393066406,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000308,-3,-0.19617795944213867,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000309,-2,-0.15329337120056152,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000310,-1,-0.08411216735839844,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000311,0,0.0,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000312,1,0.04752373695373535,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000313,2,0.10033392906188965,26.278806686401367,False,False,nan,31167,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000314,3,0.14815497398376465,26.337905883789062,False,False,nan,31167,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000315,4,0.2026524543762207,63.21643829345703,False,False,nan,35807,False
seq0004_valref_000311,26.841205596923828,seq0004,seq0004_valref_000316,5,0.24889683723449707,26.424726486206055,False,False,nan,40337,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000307,-5,-0.3003408908843994,17.2591552734375,False,False,nan,13277,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000308,-4,-0.24370169639587402,26.49396324157715,False,False,nan,17605,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000309,-3,-0.20081710815429688,26.56057357788086,False,False,nan,17605,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000310,-2,-0.1316359043121338,26.646581649780273,False,False,nan,22201,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000311,-1,-0.04752373695373535,26.841205596923828,False,False,nan,26741,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000312,0,0.0,26.91518783569336,False,False,nan,26741,False
seq0004_valref_000312,26.91518783569336,seq0004,seq0004_valref_000313,1,0.0528101921081543,26.278806686401367,False,False,nan,31167,False
