epoch,lr,train_loss,train_cls_loss,train_reg_loss,train_pos_mean,train_neg_mean,train_l0_tokens_mean,train_supervised_samples,train_no_support_samples,gpu_peak_gb,train_time_s,val_time_s,val_loss,val_cls_loss,val_reg_loss,val_raw_r1_05m,val_raw_r1_1m,val_raw_r1_2m,val_raw_r5_1m,val_raw_r10_1m,val_raw_r20_1m,val_nms_r1_1m,val_nms_r5_1m,val_nms_r10_1m,val_nms_r20_1m,val_top1_success_05m,val_top1_success_1m,val_top1_success_2m,val_top1_mean_error,val_top1_median_error,val_top1_p90_error,val_top1_p95_error,val_oracle_top10_error,val_coverage,is_best
1,0.00015979901602375542,0.5074384546407658,0.213448125338714,0.14699516609091418,13.66993006993007,36679.239580419584,36722.68839160839,22477,6123,4.214182376861572,10426.095611685014,159.826696809032,0.41890551854898495,0.15265898976741893,0.1331232644274923,0.47,0.761875,0.838125,0.848125,0.864375,0.88,0.761875,0.831875,0.8425,0.85625,0.47,0.761875,0.838125,5.364442520102246,0.5181206464767456,14.035626602172853,37.563157653808275,inf,0.985625,True
2,5.671846840040306e-05,0.1860037150677134,0.022718802864494764,0.08164245605117137,13.66993006993007,36679.23986013986,36722.68867132867,22477,6123,3.9080357551574707,10553.245211790956,160.5152858880465,0.302151729919868,0.11589264383635507,0.09312954319555293,0.595625,0.845625,0.898125,0.89375,0.904375,0.92,0.845625,0.879375,0.893125,0.901875,0.595625,0.845625,0.898125,4.224495237367198,0.3891025185585022,1.3763941526412993,33.45712127685534,inf,0.985625,True
3,2.002489405655032e-06,0.12143750211640211,0.00832934162263213,0.05655408027832991,13.66993006993007,36679.24363636364,36722.69244755245,22477,6123,4.218159198760986,10656.79231248697,143.80570184404496,0.2322829389923917,0.07672852659365624,0.07777720642102699,0.6875,0.898125,0.929375,0.929375,0.94,0.949375,0.898125,0.924375,0.931875,0.941875,0.6875,0.898125,0.929375,2.460399519819849,0.33606964349746704,0.9064005970954895,20.826219940185545,inf,0.985625,True
