variant,feature_height,feature_width_per_view,views,visual_token_count,effective_stride_h,effective_stride_w,median_bbox_width_cells,median_bbox_height_cells,mean_bbox_width_cells,mean_bbox_height_cells,best_center_step,best_center_error_px_mean,best_center_error_px_median,best_center_lt_2px,best_center_lt_4px,best_center_checkpoint_mean_iou,best_center_checkpoint_recall_iou_0.5,best_center_checkpoint_3d_error_m,best_iou_step,best_mean_iou,best_iou_recall_iou_0.5,tail_center_error_mean_px,tail_center_error_std_px_sample,tail_mean_iou,tail_iou_std_sample,runtime_seconds,peak_gpu_memory_mb
stride16,18,24,2,864,16.0,16.0,0.41251199999999955,0.33749999999999997,0.585403352297593,0.5287233052516411,550,7.449633026123047,6.829442501068115,0.0,0.1,0.36405026223510506,0.15,0.2903414972126484,500,0.4399728044867516,0.6,11.614419875144957,3.7083879596087663,0.2336929967440665,0.1570690383273926,253.96609339897987,0.0
stride8,36,48,2,3456,8.0,8.0,0.8250239999999991,0.6749999999999999,1.170806704595186,1.0574466105032823,500,6.891256763041019,3.806139588356018,0.1,0.6,0.5071070298552514,0.75,0.2972171761095524,500,0.5071070298552514,0.75,9.725134280025959,2.8546940121175894,0.3358410307332088,0.14871937792554243,224.08865555899683,0.0
