variant,out_index,step,elapsed_seconds,center_error_px_mean,center_error_px_median,center_error_lt_2px,center_error_lt_4px,mean_iou,median_iou,recall_iou_0.5,position_error_mean_m,bbox_l1,position_loss,box_head_grad_norm,peak_gpu_memory_mb,visual_token_count
stride16,3,50,21.027666287031025,13.530762243270875,12.418786525726318,0.0,0.05,0.21827096343040467,0.202995166182518,0.05,0.5061993286013603,0.016242436598986387,0.003772900300100446,4.996707916259766,0.0,864
stride16,3,100,42.231459814007394,23.72789363861084,21.49281883239746,0.0,0.0,0.0003884645877406001,0.0,0.0,0.5851237714290619,0.017507659457623958,0.0038358430261723696,5.727029800415039,0.0,864
stride16,3,150,63.42880226904526,15.262702465057373,12.117119789123535,0.0,0.0,0.16273583211004733,0.17417221516370773,0.0,0.38698823377490044,0.012723848270252348,0.0028418299814802596,5.087098598480225,0.0,864
stride16,3,200,84.54152865998913,16.308458852767945,13.311235904693604,0.0,0.0,0.1286112954840064,0.13359568268060684,0.0,0.30623722188174723,0.01267550913617015,0.002561674975731876,5.448894023895264,0.0,864
stride16,3,250,105.55399933294393,12.531191563606262,6.43124794960022,0.0,0.0,0.3056883528828621,0.4117017388343811,0.05,0.39965244084596635,0.012694143922999501,0.0026254727185005323,5.156332492828369,0.0,864
stride16,3,300,126.78252982196864,8.78701149225235,5.7043797969818115,0.05,0.15,0.42173394560813904,0.4739198237657547,0.45,0.8379357725381851,0.009969419660046696,0.004688156116753816,4.053685665130615,0.0,864
stride16,3,350,148.03102894301992,10.13647519350052,8.93735408782959,0.0,0.1,0.2930444128811359,0.2918951213359833,0.1,0.25152104292064903,0.011623332113958895,0.0016125883070344572,4.97608757019043,0.0,864
stride16,3,400,169.42412458301987,16.805246019363402,16.759740829467773,0.0,0.0,0.09147136164829135,0.08589622005820274,0.0,0.5036073893308639,0.016468252521008253,0.0022640763083472846,4.021275043487549,0.0,864
stride16,3,450,190.55454372498207,12.721886730194091,11.628940105438232,0.0,0.0,0.133967275172472,0.1436808854341507,0.0,0.38400366678833964,0.014315927214920521,0.0012957927261595613,5.157800197601318,0.0,864
stride16,3,500,211.79907795402687,8.648188924789428,3.9240506887435913,0.0,0.55,0.4399728044867516,0.5789676308631897,0.6,0.38928156942129133,0.00938886497169733,0.001176054630195722,4.771087169647217,0.0,864
stride16,3,550,232.84088165604044,7.449633026123047,6.829442501068115,0.0,0.1,0.36405026223510506,0.3739846497774124,0.15,0.2903414972126484,0.008572681108489633,0.0013172003193176352,4.840790748596191,0.0,864
stride16,3,600,253.9653399529634,12.447144675254822,13.123608112335205,0.0,0.0,0.13900328017771243,0.11013464629650116,0.0,0.352408142760396,0.014121144218370319,0.0012793914589565246,4.678707599639893,0.0,864
stride8,2,50,18.672885386971757,17.668016529083253,17.234121322631836,0.0,0.0,0.09148344416171313,0.07677081599831581,0.0,0.767513221502304,0.020895074866712094,0.005026116990484298,6.664260387420654,0.0,3456
stride8,2,100,37.25932818604633,16.328004121780396,15.874946594238281,0.0,0.0,0.11243104077875614,0.09228743612766266,0.0,0.5433984644711017,0.01736512826755643,0.0029801452008541675,6.333283424377441,0.0,3456
stride8,2,150,55.901593560935,14.735450553894044,10.644028663635254,0.0,0.0,0.20689365305006505,0.24574977904558182,0.0,0.6190537318587304,0.014098583813756704,0.003604964108671993,4.9097208976745605,0.0,3456
stride8,2,200,74.51739574898966,24.48970251083374,21.43643856048584,0.0,0.0,0.0,0.0,0.0,0.46409584432840345,0.01565251676365733,0.0024586294079199434,5.848324775695801,0.0,3456
stride8,2,250,93.09011765499599,23.288099002838134,19.273475646972656,0.0,0.0,0.00437879809178412,0.0,0.0,0.3710696898400784,0.0162225685082376,0.002167832831037231,5.5839643478393555,0.0,3456
stride8,2,300,111.79685675003566,8.701651430130005,4.981297969818115,0.0,0.2,0.44640807062387466,0.5269339978694916,0.65,0.3948488779366016,0.009522090852260589,0.0023186895821709188,5.566075801849365,0.0,3456
stride8,2,350,130.46577998704743,16.55037670135498,17.371204376220703,0.0,0.0,0.08651440925896167,0.05944294109940529,0.0,0.4982190228998661,0.016435283236205578,0.002417223874363117,5.522809028625488,0.0,3456
stride8,2,400,149.4095076910453,8.213238167762757,5.114265203475952,0.05,0.2,0.425515253841877,0.48698459565639496,0.45,0.4313437882810831,0.009346361039206386,0.001983018913597334,4.4508562088012695,0.0,3456
stride8,2,450,167.98824700294062,14.277673983573914,15.687618732452393,0.0,0.0,0.11566122506519605,0.06254742480814457,0.05,0.5420197203755379,0.014646579511463642,0.0021034063305705787,4.411468982696533,0.0,3456
stride8,2,500,186.70923076593317,6.891256763041019,3.806139588356018,0.1,0.6,0.5071070298552514,0.6097550094127655,0.75,0.2972171761095524,0.007791829435154796,0.0011508132563903927,4.224581241607666,0.0,3456
stride8,2,550,205.4978169000242,8.746129715442658,9.097655773162842,0.0,0.1,0.34534771032631395,0.31057217717170715,0.15,0.39488113969564437,0.009880323731340467,0.001422647965955548,5.0480780601501465,0.0,3456
stride8,2,600,224.0877181889955,10.497372770309449,8.325141429901123,0.0,0.0,0.28557393457740543,0.3530988246202469,0.0,0.3280843455344439,0.009949363395571708,0.0008227025507949292,5.142971515655518,0.0,3456
