loss_variant,initial_mean_iou,best_mean_iou,best_step,best_recall_iou_0.5,best_center_error_px,best_width_error,best_height_error,best_xyz_error_m,best_box_head_grad_norm,best_position_head_grad_norm,final_mean_iou,final_recall_iou_0.5
smooth_l1_giou,0.0004805084718100261,0.3906920313835144,600,0.15,7.3639496803283695,0.012371771689504384,0.02147673014551401,0.5497730806469917,30.878698348999023,0.6731964945793152,0.3906920313835144,0.15
l1_giou,0.0004805084718100261,0.39262925982475283,450,0.5,10.247610259056092,0.004471443872898817,0.01070104781538248,0.48052734434604644,27.30857276916504,0.3908107280731201,0.294774101692019,0.0
l1_only,0.0004805084718100261,0.5125506788492202,500,0.7,5.392214691638946,0.0034846456721425055,0.004659194685518742,0.19936384093016385,2.7823517322540283,0.20722144842147827,0.003006432484835386,0.0
