loss_variant,bbox_regression,giou_weight,step,elapsed_seconds,total_loss,bbox_regression_loss,bbox_center_loss,bbox_size_loss,giou_loss,position_loss,mean_iou,median_iou,recall_iou_0.5,center_error_px_mean,width_abs_error_mean,height_abs_error_mean,position_error_mean_m,box_head_grad_norm,position_head_grad_norm
smooth_l1_giou,smooth_l1,2.0,0,0.0,2.7326834440231322,0.0748265765607357,0.020818199217319488,0.12883495539426804,1.0343396306037902,0.2898713707923889,0.0004805084718100261,0.00047949868894647807,0.0,216.92058715820312,0.5186602622270584,0.4962724283337593,6.028725504875183,9.233386993408203,3.8507635593414307
smooth_l1_giou,smooth_l1,2.0,50,21.223799595958553,2.6209154605865477,0.00390559621155262,0.0041982964001363145,0.0036128959618508816,1.2870811581611634,0.027225175499916078,0.01303909532725811,0.0,0.0,43.191316795349124,0.09188901707530021,0.07711500115692616,0.7919097930192948,39.19387435913086,0.9348230957984924
smooth_l1_giou,smooth_l1,2.0,100,42.34517803695053,2.062302827835083,0.0028537178412079813,0.0006170484601170755,0.005090387212112546,1.0217185020446777,0.004597264691255987,0.1178600573039148,0.12334953621029854,0.0,16.569651222229005,0.010966079961508512,0.14206555634737014,0.7861568063497544,58.41370391845703,0.9579786658287048
smooth_l1_giou,smooth_l1,2.0,150,63.21721768495627,2.1539977312088014,0.0012778640433680267,0.0006038082196027972,0.0019519199035130442,1.0718724250793457,0.0038635633303783835,0.1401774674654007,0.15288783609867096,0.0,14.603845930099487,0.0019454079680144786,0.08797368444502354,0.517854143679142,30.241657257080078,1.0217918157577515
smooth_l1_giou,smooth_l1,2.0,200,84.27178954193369,1.6744115233421326,0.0006736893061315641,0.0005392977680457988,0.0008080808212980628,0.8328513741493225,0.005340367346070707,0.2185726396739483,0.24268679320812225,0.0,10.689317202568054,0.02723937137052417,0.04928011205047369,0.815388309955597,34.94736099243164,0.8231691718101501
smooth_l1_giou,smooth_l1,2.0,250,105.19537715590559,1.7531807541847229,0.00046785021986579524,0.0005581141598668182,0.0003775862627662718,0.8740662693977356,0.0027089680574135856,0.2207403928041458,0.23103263974189758,0.0,13.735499143600464,0.019101788569241763,0.032800162024796006,0.4181845307350159,56.42500305175781,0.9581971168518066
smooth_l1_giou,smooth_l1,2.0,300,126.15655924391467,1.7582231640815735,0.0011493378435261548,0.0005879641357751098,0.0017107115942053496,0.8647033154964447,0.023069836013019086,0.17138096624985338,0.19341059029102325,0.0,12.862759566307068,0.03215513825416565,0.07537648268043995,1.882080864906311,23.8299503326416,1.1669284105300903
smooth_l1_giou,smooth_l1,2.0,350,147.52693317795638,1.5619815587997437,0.0006761550786904991,0.0004875411559623899,0.0008647689770441503,0.7774238824844361,0.0037530391593463717,0.25588955539278685,0.29142503440380096,0.0,10.897889280319214,0.021030949521809818,0.053237801603972915,0.6197798132896424,62.381988525390625,0.6928797364234924
smooth_l1_giou,smooth_l1,2.0,400,168.52337757090572,1.5188839077949523,0.0006123897692305036,0.00042277702741557734,0.0008020025037694722,0.7566665589809418,0.002488820892176591,0.28616428598761556,0.3174753189086914,0.0,11.767546701431275,0.014397803414613008,0.049684678204357624,0.4144197128713131,28.384601593017578,0.6240471005439758
smooth_l1_giou,smooth_l1,2.0,450,189.4733497359557,1.994196593761444,0.0003897328264429234,0.0004696055271779187,0.0003098601446254179,0.9929166436195374,0.006414636969566345,0.15714528299868108,0.13031260669231415,0.0,14.987618291378022,0.014637361001223325,0.028955814056098463,1.021711415052414,157.17825317382812,0.44296926259994507
smooth_l1_giou,smooth_l1,2.0,500,210.5098366609309,1.728601050376892,0.0003199007624061778,0.0003739360134204617,0.00026586552121443674,0.861703735589981,0.0035940752597525714,0.22641752362251283,0.19547437876462936,0.0,11.277469635009766,0.014970446657389402,0.02705091666430235,0.3920621659606695,136.1221160888672,0.8941861391067505
smooth_l1_giou,smooth_l1,2.0,550,231.6021455299342,2.043549621105194,0.000246982882526936,0.00029958110608276913,0.00019438465305938736,1.0195825099945068,0.0031497084943111985,0.1572950266301632,0.14666197448968887,0.0,13.680924165248872,0.008795169088989497,0.016171255521476267,0.5406472951173782,54.74569320678711,0.7035166621208191
smooth_l1_giou,smooth_l1,2.0,600,252.57719771494158,1.2978962540626526,0.00022106433516455581,0.00020017597762489459,0.00024195270343625453,0.6467459827661515,0.0032989604980684815,0.3906920313835144,0.42172151803970337,0.15,7.3639496803283695,0.012371771689504384,0.02147673014551401,0.5497730806469917,30.878698348999023,0.6731964945793152
l1_giou,l1,2.0,0,0.0,4.030434226989746,0.3343766927719116,0.16128704845905303,0.507466334104538,1.0343396306037902,0.2898713707923889,0.0004805084718100261,0.00047949868894647807,0.0,216.92058715820312,0.5186602622270584,0.4962724283337593,6.028725504875183,11.39737606048584,3.8507635593414307
l1_giou,l1,2.0,50,21.297684623044915,2.488803195953369,0.10825152024626732,0.03512300476431847,0.18138003200292588,0.9660335063934327,0.015478611085563898,0.0339999501593411,0.0334347952157259,0.0,31.285654067993164,0.12033030577003956,0.2424297623336315,1.162729451060295,13.204202651977539,1.4339892864227295
l1_giou,l1,2.0,100,42.50329312705435,2.652663731575012,0.06760367676615715,0.044339777529239656,0.0908675730228424,1.1537513971328734,0.007142568752169609,0.004069755168166012,0.003007088671438396,0.0,48.35853290557861,0.0742068562656641,0.10752829015254975,0.8240962594747543,30.474422454833984,1.6388036012649536
l1_giou,l1,2.0,150,63.468531396007165,2.0955339670181274,0.02970137298107147,0.023407283425331115,0.03599546290934086,0.9709162235260009,0.005194645514711738,0.14945856295526028,0.15337027609348297,0.0,12.862297880649567,0.035268069710582495,0.0367228576913476,0.6207187220454216,31.10035514831543,0.740597128868103
l1_giou,l1,2.0,200,84.74007520801388,2.4812400579452514,0.03516670353710651,0.031382208690047264,0.03895119987428188,1.1498106956481933,0.005785106658004224,0.051924212463200094,0.05358346179127693,0.0,23.08429012298584,0.013680525962263346,0.06422187499701977,0.915250152349472,29.677885055541992,0.5047520995140076
l1_giou,l1,2.0,250,106.30933353106957,2.3302003741264343,0.021338192094117404,0.029172302037477494,0.0135040826164186,1.109399425983429,0.004710580938262865,0.12239507623016835,0.12087937071919441,0.0,16.763309240341187,0.006013018637895584,0.020995146594941616,0.5805394366383553,50.57941436767578,1.7540028095245361
l1_giou,l1,2.0,300,127.58037046599202,1.8498141646385193,0.025202590227127075,0.021565724164247513,0.028839454986155033,0.8602511405944824,0.0032989193336106838,0.24108357727527618,0.31268230080604553,0.0,14.813848900794984,0.017894554976373912,0.03978435527533293,0.5521248340606689,24.263721466064453,0.49781709909439087
l1_giou,l1,2.0,350,148.70620599004906,2.591218948364258,0.017074534110724925,0.024593810737133025,0.009555259393528104,1.247143769264221,0.01155878477729857,0.0041817269753664735,0.0,0.0,20.831888437271118,0.007374451030045748,0.01173606775701046,1.1628245890140534,34.264347076416016,1.4188083410263062
l1_giou,l1,2.0,400,169.64489800704177,1.5221859991550446,0.01615942781791091,0.018382756412029265,0.013936099084094166,0.7195579916238785,0.0022728818817995488,0.3515700712800026,0.3854619562625885,0.15,10.1284843146801,0.008044703397899866,0.019827494584023952,0.4019932053983212,104.66217803955078,0.575391411781311
l1_giou,l1,2.0,450,191.0491200600518,1.462490701675415,0.011587797524407506,0.01558934897184372,0.007586245844140649,0.7013059437274933,0.0019398274074774236,0.39262925982475283,0.49378256499767303,0.5,10.247610259056092,0.004471443872898817,0.01070104781538248,0.48052734434604644,27.30857276916504,0.3908107280731201
l1_giou,l1,2.0,500,212.19750607700553,2.326973724365234,0.03792562894523144,0.02562112957239151,0.05023012943565845,1.0682219386100769,0.0009016717736813007,0.08289594911038875,0.0654151625931263,0.0,15.2582258105278,0.05363331399857998,0.04682694282382727,0.22429147064685823,4.919548511505127,0.20887595415115356
l1_giou,l1,2.0,550,233.21181584207807,2.354379653930664,0.013590133283287287,0.019741127267479897,0.00743913920596242,1.1398864150047303,0.006656175898388028,0.04755359617993236,0.052065009251236916,0.0,18.626922798156738,0.0030156001448631287,0.011862678453326225,0.9436003208160401,75.13739776611328,1.060929536819458
l1_giou,l1,2.0,600,254.37608919804916,1.6025129199028014,0.01779322549700737,0.009695295989513398,0.02589115481823683,0.7542889833450317,0.004968866630224511,0.294774101692019,0.3515022546052933,0.0,6.386169925332069,0.018941527511924506,0.0328407833352685,0.91241814494133,6.400412082672119,0.45827516913414
l1_only,l1,0.0,0,0.0,1.9617548704147338,0.3343766927719116,0.16128704845905303,0.507466334104538,1.0343396306037902,0.2898713707923889,0.0004805084718100261,0.00047949868894647807,0.0,216.92058715820312,0.5186602622270584,0.4962724283337593,6.028725504875183,5.618034362792969,3.8507635593414307
l1_only,l1,0.0,50,20.86621806502808,0.1142767183482647,0.022099172603338955,0.034405825287103654,0.00979252066463232,1.3304856300354004,0.0037808529450558126,0.0,0.0,0.0,33.93698444366455,0.009179898258298635,0.010405143164098263,0.6575201481580735,4.44165563583374,1.241136908531189
l1_only,l1,0.0,100,41.80684419698082,0.08199979402124882,0.01545015424489975,0.025438329577445982,0.00546197947114706,1.2048379898071289,0.004749022470787167,0.07351904548704624,0.08639859780669212,0.0,17.40234742164612,0.004228549730032683,0.006695409119129181,0.8171824455261231,4.9812517166137695,0.7818298935890198
l1_only,l1,0.0,150,62.62470431998372,0.06623980514705181,0.012624273635447025,0.01804000437259674,0.007208542432636023,0.8465502351522446,0.003118436480872333,0.2930659273639321,0.32564571499824524,0.05,10.187158679962158,0.006589325703680515,0.00782775916159153,0.5797463446855545,4.664976119995117,0.7942908406257629
l1_only,l1,0.0,200,83.38694532995578,0.06032254416495562,0.011336599057540298,0.0197254691272974,0.0029477287083864213,1.0434756815433501,0.0036395496921613813,0.12760163191705942,0.1399136334657669,0.0,16.306565380096437,0.001899612694978714,0.003995844721794128,0.7748422153294087,3.7247047424316406,0.14011795818805695
l1_only,l1,0.0,250,104.22933215100784,0.07975344471633435,0.015727918595075607,0.026905784383416176,0.004550052620470524,1.2398702144622802,0.001113852349226363,0.05442072416190058,0.058451322838664055,0.0,17.746014022827147,0.002447850676253438,0.006652254611253738,0.3189773835241795,4.4293532371521,0.39218875765800476
l1_only,l1,0.0,300,125.22670180001296,0.061852934584021566,0.011974894627928733,0.020169349759817122,0.0037804389838129284,1.0733054518699645,0.001978462841361761,0.13474847059696912,0.15831506997346878,0.0,14.080721521377564,0.0033810106106102467,0.00417986735701561,0.40620882362127303,4.71891450881958,0.05940559506416321
l1_only,l1,0.0,350,145.93685013998765,0.06634201593697071,0.013019815180450678,0.01790308430790901,0.008136545959860086,1.0875702798366547,0.0012429390451870858,0.10964793041348457,0.1080487072467804,0.0,13.326588249206543,0.005842997506260872,0.010430094599723817,0.39943592697381974,4.489381790161133,0.3108792304992676
l1_only,l1,0.0,400,166.93847047700547,0.05838903076946735,0.011331168841570616,0.01830863021314144,0.004353707702830434,0.9755599081516266,0.0017331866198219358,0.18979696035385132,0.17876679450273514,0.0,12.062380123138428,0.0023750988766551018,0.0063323164358735085,0.49289378598332406,4.09945011138916,0.10586121678352356
l1_only,l1,0.0,450,187.60344479000196,0.06217270195484161,0.012250331696122885,0.01769288517534733,0.006807777797803283,1.1352279245853425,0.0009210433621774427,0.031840047051082364,0.004086165223270655,0.0,17.350990438461302,0.004431281518191099,0.009184274077415466,0.31940301805734633,2.7103970050811768,0.3349643349647522
l1_only,l1,0.0,500,208.37628994800616,0.031856952048838136,0.006290777679532766,0.008509635180234908,0.004071920178830624,0.5266456693410874,0.0004030642878205981,0.5125506788492202,0.6444977819919586,0.7,5.392214691638946,0.0034846456721425055,0.004659194685518742,0.19936384093016385,2.7823517322540283,0.20722144842147827
l1_only,l1,0.0,550,229.26708323101047,0.06305635459721089,0.012411512713879348,0.018007731437683104,0.0068152941763401035,1.1405181169509888,0.000998790661105886,0.05225916458293796,0.044898614287376404,0.0,18.923627853393555,0.0018389261327683925,0.011791662126779557,0.28046811148524287,4.494490623474121,0.08489030599594116
l1_only,l1,0.0,600,250.09588475106284,0.07637354433536529,0.014587932266294956,0.020359133929014207,0.008816730231046677,1.2824694991111756,0.003433883615070954,0.003006432484835386,0.0,0.0,21.590616035461426,0.005101991724222899,0.012531468831002712,0.6567109376192093,1.3594878911972046,0.15994104743003845
