step,elapsed_seconds,method,center_error_px_mean,center_error_px_median,center_error_lt_2px,center_error_lt_4px,center_error_lt_8px,best_fixed_head_index,attention_entropy_normalized_mean,gt_mass_1cell_mean,gt_mass_2cell_mean,box_head_grad_norm
0,0.0,fused_token,242.3287353515625,240.97756958007812,0.0,0.0,0.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
0,0.0,mean_attention,178.6383819580078,177.22805786132812,0.0,0.0,0.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
0,0.0,peak_attention,226.0796356201172,229.52589416503906,0.0,0.0,0.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
0,0.0,best_fixed_head,59.930885314941406,59.216712951660156,0.0,0.0,0.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
0,0.0,oracle_best_head,59.930885314941406,59.216712951660156,0.0,0.0,0.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
0,0.0,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,2,0.9913673400878906,0.0011743811191990972,0.004702240228652954,0.0
50,16.574817245011218,fused_token,18.985790252685547,15.43153190612793,0.0,0.0,0.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
50,16.574817245011218,mean_attention,221.12216186523438,219.81874084472656,0.0,0.0,0.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
50,16.574817245011218,peak_attention,362.3592224121094,359.65362548828125,0.0,0.0,0.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
50,16.574817245011218,best_fixed_head,140.61529541015625,137.0047607421875,0.0,0.0,0.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
50,16.574817245011218,oracle_best_head,137.84239196777344,137.0047607421875,0.0,0.0,0.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
50,16.574817245011218,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,7,0.9906409382820129,0.0009568969835527241,0.003765282453969121,1.1833094358444214
100,33.05133958696388,fused_token,12.17506217956543,5.428805351257324,0.0,0.10000000149011612,0.6499999761581421,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
100,33.05133958696388,mean_attention,231.6200714111328,230.48687744140625,0.0,0.0,0.0,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
100,33.05133958696388,peak_attention,362.3592224121094,359.65362548828125,0.0,0.0,0.0,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
100,33.05133958696388,best_fixed_head,170.48806762695312,166.7425537109375,0.0,0.0,0.0,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
100,33.05133958696388,oracle_best_head,169.85122680664062,166.7425537109375,0.0,0.0,0.0,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
100,33.05133958696388,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,7,0.9912995100021362,0.0009011524962261319,0.003525134874507785,0.927227258682251
