step,elapsed_seconds,total_loss,bbox_l1_loss,bbox_center_l1_loss,bbox_size_l1_loss,giou_loss,position_loss,mean_iou,recall_iou_0.5,center_error_px,width_abs_error,height_abs_error,position_error_mean_m,pred_width_mean,gt_width_mean,pred_height_mean,gt_height_mean
0,0.0,2.732549858093262,0.07479314059019089,0.020828231796622278,0.12875804603099822,1.0347405910491942,0.2891029745340347,0.0004379893594887108,0.0,216.99089736938475,0.518400639295578,0.4962336227297783,6.021291875839234,0.5428928166627884,0.02449217503890395,0.5569107234477997,0.06067710015922785
50,23.507734552957118,2.263610529899597,0.004557908419519663,0.0016870349412783981,0.007428781921043992,1.1080684661865234,0.02468404471874237,0.014089133124798536,0.0,45.17143096923828,0.06958350986242294,0.15751746520400048,2.003821837902069,0.09407568499445915,0.02449217503890395,0.2181945651769638,0.06067710015922785
100,45.647220310987905,1.9445979118347168,0.004014991736039519,0.001694166916422546,0.006335816578939557,0.9608631372451782,0.002796638136351248,0.07606798503547907,0.0,22.71916193962097,0.04642693921923637,0.1520546294748783,0.34463799446821214,0.07091911435127259,0.02449217503890395,0.2127317287027836,0.06067710015922785
150,67.39073746395297,1.8263571500778197,0.002093395229894668,0.0005858218690264038,0.0036009685834869744,0.9044816613197326,0.006926874769851566,0.10417302530258894,0.0,14.832480359077454,0.06125631015747786,0.1024019006639719,1.0712199717760087,0.08574848510324955,0.02449217503890395,0.16307900175452233,0.06067710015922785
200,89.29695380304474,1.7468694925308228,0.0012249537627212702,0.0004660262379275082,0.0019838812761008738,0.8622014105319977,0.01634191405028105,0.16316355569288135,0.0,9.352742540836335,0.03415714716538787,0.08080921322107315,1.6125239372253417,0.05864932220429182,0.02449217503890395,0.14148631393909455,0.06067710015922785
250,110.97157298703678,2.125946879386902,0.001083414489403367,0.0004649137466913089,0.0017019151942804455,1.0590797185897827,0.0023703870800090955,0.06714453687891364,0.0,23.96477003097534,0.029173491429537533,0.07201761193573475,0.4883327350020409,0.05366566646844149,0.02449217503890395,0.13269471302628516,0.06067710015922785
300,133.01995724602602,1.6317885041236877,0.0004931259492877871,0.00021120285659890215,0.0007750490418402478,0.8135269403457641,0.0022689967532642185,0.24097345173358917,0.0,6.390686362981796,0.03818645877763629,0.02713275942951441,0.5409996218979358,0.06267863400280475,0.02449217503890395,0.08780985958874225,0.06067710015922785
350,154.70984098303597,1.6371397972106934,0.0006023713023751043,0.00025773483503144234,0.0009470077813602984,0.8142517745494843,0.00562439973000437,0.23351160921156405,0.0,11.822627115249634,0.03293286189436913,0.03765908386558294,0.88504299223423,0.057425036653876306,0.02449217503890395,0.09833618402481079,0.06067710015922785
400,176.8254454820417,1.6487350583076477,0.0005967062112176791,0.0002642751260282239,0.0009291372523875907,0.8215456783771515,0.0026601593126542866,0.23408730551600457,0.0,11.549937891960145,0.021428364794701338,0.04719631467014551,0.44635544121265414,0.04592053983360529,0.02449217503890395,0.10787341482937336,0.06067710015922785
450,197.99261970294174,1.5359928846359252,0.0005827317218063399,0.00021404397393780527,0.000951419456396252,0.7657628536224366,0.0015535223763436079,0.25512443408370017,0.0,9.436202192306519,0.032792651932686566,0.041848579235374925,0.36658033132553103,0.057284826785326,0.02449217503890395,0.10252567902207374,0.06067710015922785
500,219.0795485950075,1.9334664940834045,0.0010550546925514937,0.0005159587592061144,0.0015941506018862129,0.9624166548252105,0.0033579424722120165,0.11618873067200183,0.0,12.53726397752762,0.04806845374405384,0.06185619719326496,0.7189245671033859,0.07256062887609005,0.02449217503890395,0.1225332971662283,0.06067710015922785
550,240.07095930702053,1.413922941684723,0.0001739779561830801,0.0003038074331016105,4.4148496817797424e-05,0.7012980341911316,0.010456950776278973,0.3999539133161306,0.55,8.18435913324356,0.00731304008513689,0.009570530243217945,1.2723985016345978,0.01717913495376706,0.02449217503890395,0.05366520583629608,0.06067710015922785
600,261.10439256299287,1.8670394539833068,0.00024370730825467034,0.00023274865416169632,0.0002546659714425914,0.9322069168090821,0.0014070676552364603,0.200046899728477,0.0,10.708996987342834,0.005360165797173977,0.02581022586673498,0.3173744767904282,0.023591142613440752,0.02449217503890395,0.04973932169377804,0.06067710015922785
