variant,feature_height,feature_width_per_view,views,visual_token_count,effective_stride_h,effective_stride_w,median_bbox_width_cells,median_bbox_height_cells,mean_bbox_width_cells,mean_bbox_height_cells,parameter_count_total,parameter_count_trainable,best_center_step,best_center_error_px_mean,best_center_error_px_median,best_center_lt_2px,best_center_lt_4px,best_center_checkpoint_mean_iou,best_center_checkpoint_recall_iou_0.5,best_center_checkpoint_3d_error_m,best_iou_step,best_mean_iou,best_iou_recall_iou_0.5,tail_center_error_mean_px,tail_center_error_std_px_sample,tail_mean_iou,tail_iou_std_sample,runtime_seconds,peak_gpu_memory_mb,fusion
stride8_only,36,48,2,3456,8.0,8.0,0.8250239999999991,0.6749999999999999,1.170806704595186,1.0574466105032823,1617479,1617479,500,6.891256763041019,3.806139588356018,0.1,0.6,0.5071070298552514,0.75,0.2972171761095524,500,0.5071070298552514,0.75,9.725134280025959,2.8546940121175894,0.3358410307332088,0.14871937792554243,201.1342580220662,0.0,none
minimal_fpn,36,48,2,3456,8.0,8.0,0.8250239999999991,0.6749999999999999,1.170806704595186,1.0574466105032823,3848775,3848775,500,4.696419042348862,3.409635901451111,0.05,0.65,0.572572797164321,0.8,0.31753053665161135,500,0.572572797164321,0.8,12.892203105688097,6.142455012779782,0.22159533341880885,0.23589250169925052,267.07276496698614,0.0,minimal_fpn
