step,total_loss,objectness_loss,spatial_xyz_loss,temporal_loss,spatial_median_error,temporal_median_error,positive_logit,best_negative_logit,objectness_margin,endpoint_spatial_supervised,endpoint_count,num_supervised_occurrences,num_temporal_supervised,grad_sbe_vqsa,grad_l0_spatial,grad_l2_spatial,grad_candidate_objectness,grad_candidate_xyz,grad_query_pool,grad_temporal_transformer,grad_temporal_xyz_head
0,27.836224081841383,1.1343459270217202,0.30948452380570496,26.082909107208252,68.15337371826172,55.58647918701172,nan,-4.57226836681366,nan,0,4,22,32,,,,,,,,
10,27.53857970102267,1.1203134547580371,0.23351547596129504,25.95123529434204,0.6951689422130585,55.408668518066406,nan,-4.535818338394165,nan,0,4,22,32,0.00019296417303849012,0.019059916958212852,0.0007912071305327117,0.19787806272506714,1.4414416551589966,0.00010701618157327175,0.0292050763964653,1.6329717636108398
20,27.2611735612154,1.1068052053451538,0.16850421577692032,25.817359924316406,0.5950712859630585,55.219512939453125,nan,-4.500391364097595,nan,0,4,22,32,0.00010361088789068162,0.01265108771622181,0.0006867743795737624,0.274088054895401,1.9374665021896362,0.0001117779320338741,0.052497997879981995,2.60402250289917
30,26.931575918739494,1.0904575748877092,0.11295462061058391,25.615209102630615,0.5039329826831818,54.93048858642578,nan,-4.459757328033447,nan,0,4,22,32,7.655753142898902e-05,0.007933427579700947,0.00047575801727361977,0.38398340344429016,2.108341932296753,0.00010438462777528912,0.09332235902547836,4.067277908325195
40,26.49982294609601,1.070264827121388,0.07079688747498122,25.287964344024658,0.4279641658067703,54.4562931060791,nan,-4.40463924407959,nan,0,4,22,32,7.748989446554333e-05,0.00564850028604269,0.0002725439553614706,0.5330213308334351,1.9886445999145508,8.943605644162744e-05,0.15520626306533813,6.329995632171631
50,25.899942935698412,1.0475848317146301,0.04455339967865835,24.763251304626465,0.3729405403137207,53.685136795043945,nan,-4.34224009513855,nan,0,4,22,32,6.699474761262536e-05,0.005084796342998743,0.00023581318964716047,0.7024121880531311,1.6652253866195679,7.977938366821036e-05,0.2445274442434311,9.72360897064209
60,25.031357377767563,1.0237143419005654,0.03108921240676533,23.945464611053467,0.33925682306289673,52.49052619934082,nan,-4.273601293563843,nan,0,4,22,32,6.407716864487156e-05,0.005547648761421442,0.00023147411411628127,0.8767609596252441,1.3106740713119507,8.578773122280836e-05,0.37601402401924133,14.604846000671387
70,23.761875315146014,1.0001462562517687,0.024820952252908188,22.712087154388428,0.3195898234844208,50.7176570892334,nan,-4.205868601799011,nan,0,4,22,32,6.923790351720527e-05,0.005402825772762299,0.00021118359290994704,1.0419697761535645,1.0426421165466309,9.170913835987449e-05,0.5540857911109924,21.433731079101562
80,21.96388572445986,0.9781714054671201,0.021787346721711485,20.942139625549316,0.3069201111793518,48.229312896728516,nan,-4.143164873123169,nan,0,4,22,32,6.792489148210734e-05,0.005679737776517868,0.0002513524377718568,1.187981128692627,0.8707957863807678,9.970191604224965e-05,0.7773584723472595,30.56869125366211
90,19.756926896685567,0.9582292356274345,0.020155524559827012,18.758386611938477,0.2981053441762924,44.948781967163086,nan,-4.087765216827393,nan,0,4,22,32,4.5063970901537687e-05,0.007449362892657518,0.00047297831042669713,1.3140709400177002,0.7652493119239807,0.00011861015082104132,0.7236931920051575,34.564510345458984
