step,total_loss,objectness_loss,spatial_xyz_loss,temporal_loss,spatial_median_error,temporal_median_error,positive_logit,best_negative_logit,objectness_margin,endpoint_spatial_supervised,endpoint_count,num_supervised_occurrences,num_temporal_supervised,grad_sbe_vqsa,grad_l0_spatial,grad_l2_spatial,grad_candidate_objectness,grad_candidate_xyz,grad_query_pool,grad_temporal_transformer,grad_temporal_xyz_head
100,13.94200323726982,0.9365521132946014,0.014218648802489043,12.97701382637024,0.1690622642636299,31.79996681213379,-3.851372480392456,-4.102187395095825,0.25081491470336914,4,4,10,32,7.147951691877097e-05,0.007127976510673761,0.00041183806024491787,1.4826295375823975,1.6497962474822998,0.00013382315228227526,1.4800928831100464,60.52695846557617
110,11.842313761264085,0.9203869938850403,0.01199890710413456,10.897928953170776,0.15533845871686935,26.765400886535645,-3.7914631366729736,-4.0654356479644775,0.2739725112915039,4,4,10,32,7.211889169411734e-05,0.011658377014100552,0.0006722799735143781,1.5816402435302734,1.5315406322479248,0.00018090318189933896,0.6263575553894043,76.83386993408203
120,9.77150576710701,0.905894011259079,0.01054702401161194,8.844517707824707,0.14565810561180115,22.48537540435791,-3.7379209995269775,-4.0342196226119995,0.296298623085022,4,4,10,32,6.028692951076664e-05,0.005433719605207443,0.00029590909252874553,1.6688305139541626,1.4461733102798462,0.00010282627772539854,0.8312534689903259,89.08692932128906
130,7.983419859036803,0.8920428276062011,0.009449428133666515,7.072478175163269,0.13790005445480347,18.499083518981934,-3.6867525577545166,-4.003344535827637,0.3165919780731201,4,4,10,32,9.996620065066963e-05,0.01772771216928959,0.0010388107039034367,1.7552034854888916,1.3772170543670654,0.00025305760209448636,0.22431276738643646,91.49597930908203
140,6.772643178328872,0.8781769275665283,0.008632585220038892,5.877201080322266,0.13181555271148682,15.931921482086182,-3.635714590549469,-3.9755067229270935,0.3397921323776245,4,4,10,32,0.00017519468383397907,0.024691548198461533,0.0015337516088038683,1.8415642976760864,1.3216161727905273,0.00036036601522937417,0.3161469101905823,103.97211456298828
150,5.394924196973443,0.863494074344635,0.007956563122570514,4.515516996383667,0.12655524164438248,14.030628681182861,-3.5816080570220947,-3.9453956484794617,0.36378759145736694,4,4,10,32,0.0002526070165913552,0.04023408144712448,0.00294003845192492,1.9022554159164429,1.2770020961761475,0.0005232024705037475,0.8490183353424072,62.0477409362793
160,3.8240534106269477,0.8434312999248504,0.0068306316621601585,2.966960847377777,0.1173604466021061,9.07544755935669,-3.507180094718933,-3.889473855495453,0.3822937607765198,4,4,10,32,7.024689693935215e-05,0.011036630719900131,0.0004741706943605095,2.016228675842285,1.191655158996582,0.00016035445150919259,0.6084610819816589,82.99929809570312
170,2.020125042460859,0.8231854796409607,0.006094905268400908,1.1847497522830963,0.11091206222772598,3.814699411392212,-3.4324971437454224,-3.8405659198760986,0.40806877613067627,4,4,10,32,9.733080514706671e-05,0.011130182072520256,0.000876777688972652,2.1186394691467285,1.1301002502441406,0.00015670999709982425,0.6333423256874084,95.42823791503906
180,1.0185328389517965,0.7995920419692993,0.005369673809036612,0.20820144936442375,0.10412850230932236,1.1250147223472595,-3.3467389941215515,-3.797647714614868,0.45090872049331665,4,4,10,32,0.00018544573686085641,0.020862102508544922,0.0011766760144382715,2.26611065864563,1.0681792497634888,0.00035007516271434724,1.5459060668945312,78.67241668701172
190,0.8763832041993738,0.771925562620163,0.004768935311585665,0.09491977095603943,0.09815524518489838,0.760540097951889,-3.2472514510154724,-3.7558826208114624,0.50863116979599,4,4,10,32,0.00017303923959843814,0.022764064371585846,0.0012056429404765368,2.347536087036133,1.0102430582046509,0.00035645681782625616,0.7937694787979126,72.61109161376953
200,0.763374809641391,0.7241577506065369,0.003989931428804994,0.031237196177244186,0.08982009068131447,0.4296615719795227,-3.077818214893341,-3.702889621257782,0.6250714063644409,4,4,10,32,7.82249408075586e-05,0.007345404010266066,0.00045058687101118267,2.593604326248169,0.9342925548553467,0.00011941295088035986,0.4342041313648224,37.14910888671875
