epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2905.84,1.57405,0.62467,1.03357,0.94335,0.90216,0.92913,0.41473,1.97446,0.80675,0.97127,0.0011882,0.0011882,0.0011882
43,2974.44,1.57396,0.6213,1.02243,0.7747,0.77991,0.78339,0.32325,2.14297,0.99251,1.01177,0.0011684,0.0011684,0.0011684
44,3042.86,1.54456,0.60722,1.02726,0.90445,0.86005,0.88472,0.3783,2.06416,0.8773,0.99223,0.0011486,0.0011486,0.0011486
45,3111.54,1.56452,0.61141,1.0353,0.90081,0.8781,0.89509,0.37449,2.03847,0.8307,0.9887,0.0011288,0.0011288,0.0011288
46,3180.11,1.57288,0.61964,1.03762,0.91564,0.85759,0.90678,0.39713,1.97964,0.86109,0.9807,0.001109,0.001109,0.001109
47,3248.68,1.56413,0.61755,1.03561,0.9175,0.86343,0.8967,0.38071,2.02286,0.85566,0.99265,0.0010892,0.0010892,0.0010892
48,3317.19,1.56415,0.6137,1.02119,0.94475,0.88775,0.91557,0.40456,1.99763,0.83637,0.98129,0.0010694,0.0010694,0.0010694
49,3385.49,1.55471,0.60754,1.0338,0.91978,0.86117,0.88412,0.37436,2.05237,0.85943,0.99103,0.0010496,0.0010496,0.0010496
50,3453.62,1.54842,0.59868,1.02718,0.93629,0.89567,0.91602,0.40212,2.00238,0.79836,0.98121,0.0010298,0.0010298,0.0010298
51,3522.1,1.55429,0.60505,1.03267,0.9403,0.90665,0.91865,0.40715,1.99604,0.78397,0.97713,0.00101,0.00101,0.00101
52,3590.49,1.58194,0.61228,1.03293,0.91275,0.86197,0.90491,0.40315,2.02848,0.85524,0.98734,0.0009902,0.0009902,0.0009902
53,3659.09,1.54617,0.61079,1.02658,0.91388,0.82506,0.8822,0.38186,1.98857,0.95394,0.98262,0.0009704,0.0009704,0.0009704
54,3727.76,1.53997,0.60106,1.02871,0.93166,0.89237,0.90805,0.38939,2.04219,0.82863,0.9924,0.0009506,0.0009506,0.0009506
55,3796.55,1.54712,0.59878,1.03055,0.92892,0.87025,0.90686,0.40089,1.96856,0.84679,0.97104,0.0009308,0.0009308,0.0009308
56,3864.92,1.53856,0.59449,1.02135,0.93333,0.88485,0.90932,0.39885,2.03663,0.82714,0.98637,0.000911,0.000911,0.000911
57,3933.42,1.51582,0.58199,1.02259,0.9441,0.915,0.93201,0.40962,1.97495,0.79288,0.97427,0.0008912,0.0008912,0.0008912
58,4002.05,1.52297,0.59352,1.02387,0.94174,0.85779,0.89536,0.38837,1.99829,0.92604,0.97996,0.0008714,0.0008714,0.0008714
59,4070.61,1.51839,0.58419,1.02237,0.93977,0.88057,0.91464,0.40209,1.9753,0.87598,0.96957,0.0008516,0.0008516,0.0008516
60,4139.02,1.52408,0.58955,1.02001,0.94928,0.90831,0.92796,0.41152,1.97424,0.78972,0.9705,0.0008318,0.0008318,0.0008318
61,4207.29,1.51494,0.58384,1.01791,0.94082,0.90181,0.92602,0.40457,2.00459,0.7904,0.97999,0.000812,0.000812,0.000812
62,4276.04,1.5383,0.59259,1.01865,0.94285,0.87523,0.91602,0.40952,1.96926,0.8537,0.97503,0.0007922,0.0007922,0.0007922
63,4344.87,1.49796,0.57269,1.02583,0.92179,0.85892,0.90447,0.40485,1.99074,0.85417,0.98344,0.0007724,0.0007724,0.0007724
64,4413.63,1.51308,0.57277,1.01465,0.94329,0.90107,0.92419,0.41093,1.9659,0.83621,0.96992,0.0007526,0.0007526,0.0007526
65,4481.82,1.49253,0.57435,1.01943,0.94591,0.89278,0.93366,0.42594,1.93288,0.82067,0.96356,0.0007328,0.0007328,0.0007328
66,4550.56,1.50435,0.57968,1.00752,0.95368,0.93228,0.94205,0.42003,1.97342,0.77004,0.97212,0.000713,0.000713,0.000713
67,4619.05,1.52199,0.56943,1.00781,0.9514,0.91648,0.93555,0.40931,1.95967,0.81914,0.97267,0.0006932,0.0006932,0.0006932
68,4687.62,1.48381,0.57216,1.00958,0.92742,0.90068,0.91669,0.40302,1.98937,0.79884,0.97656,0.0006734,0.0006734,0.0006734
69,4756.15,1.48761,0.56147,1.00919,0.94453,0.92438,0.93349,0.40439,1.96616,0.74776,0.97748,0.0006536,0.0006536,0.0006536
70,4824.76,1.50954,0.57084,1.01656,0.92845,0.87698,0.90992,0.39752,1.98635,0.86024,0.97961,0.0006338,0.0006338,0.0006338
71,4893.45,1.48888,0.56416,1.00865,0.93801,0.90858,0.91783,0.3999,2.00215,0.79996,0.97662,0.000614,0.000614,0.000614
72,4962.13,1.46037,0.55885,1.00724,0.93776,0.86726,0.91146,0.3979,1.99233,0.8318,0.98285,0.0005942,0.0005942,0.0005942
73,5030.79,1.47549,0.55608,1.00265,0.93688,0.89955,0.91796,0.40187,1.99559,0.77773,0.98234,0.0005744,0.0005744,0.0005744
74,5099.16,1.4744,0.5538,1.00055,0.93683,0.88708,0.91467,0.40699,1.97929,0.79913,0.96969,0.0005546,0.0005546,0.0005546
75,5167.87,1.48299,0.56282,1.00232,0.92434,0.89391,0.92233,0.41675,1.92955,0.79296,0.96614,0.0005348,0.0005348,0.0005348
76,5236.46,1.44743,0.54101,1.0007,0.92874,0.8781,0.9098,0.402,1.9882,0.82681,0.9837,0.000515,0.000515,0.000515
77,5305.05,1.44611,0.55144,0.99623,0.91469,0.85923,0.88764,0.39014,2.0257,0.8487,0.98485,0.0004952,0.0004952,0.0004952
78,5373.43,1.46335,0.55004,0.99969,0.93976,0.89804,0.92078,0.40715,1.9798,0.80078,0.97317,0.0004754,0.0004754,0.0004754
79,5441.78,1.4633,0.55077,1.00524,0.92671,0.886,0.90641,0.40315,1.98531,0.83352,0.97988,0.0004556,0.0004556,0.0004556
80,5510.24,1.44627,0.53772,0.99772,0.93079,0.8652,0.9022,0.39763,2.00701,0.85961,0.9789,0.0004358,0.0004358,0.0004358
81,5579.03,1.43215,0.53531,0.99201,0.93612,0.90745,0.92161,0.42133,1.93498,0.75035,0.96574,0.000416,0.000416,0.000416
82,5647.57,1.44629,0.54127,0.99213,0.94934,0.90939,0.93167,0.42025,1.94747,0.7678,0.96762,0.0003962,0.0003962,0.0003962
83,5716.17,1.42582,0.53654,0.99932,0.93407,0.89052,0.91975,0.40466,1.98185,0.81852,0.97824,0.0003764,0.0003764,0.0003764
84,5784.89,1.44578,0.54123,0.99266,0.94204,0.86682,0.90021,0.40324,1.99489,0.87496,0.9761,0.0003566,0.0003566,0.0003566
85,5853.64,1.45131,0.5384,0.99852,0.93232,0.88939,0.92537,0.41306,1.96082,0.79462,0.97203,0.0003368,0.0003368,0.0003368
86,5922.29,1.43578,0.53341,0.98945,0.94525,0.90293,0.9258,0.41307,1.97549,0.79158,0.97375,0.000317,0.000317,0.000317
87,5990.86,1.42955,0.52978,0.98812,0.93037,0.87246,0.90014,0.40289,2.01296,0.83564,0.98148,0.0002972,0.0002972,0.0002972
88,6059.37,1.40495,0.52305,0.99241,0.93415,0.88066,0.91035,0.40505,1.9847,0.84392,0.97584,0.0002774,0.0002774,0.0002774
89,6127.83,1.41568,0.52691,0.98392,0.92919,0.886,0.90478,0.39882,2.0085,0.83438,0.98257,0.0002576,0.0002576,0.0002576
90,6196.7,1.41116,0.53194,0.99187,0.93783,0.90237,0.92465,0.40928,1.9843,0.77832,0.98037,0.0002378,0.0002378,0.0002378
91,6266.05,1.44681,0.52182,1.04282,0.92829,0.87668,0.89733,0.40036,1.99297,0.84338,0.97759,0.000218,0.000218,0.000218
92,6334.59,1.42068,0.51862,1.0343,0.92668,0.88449,0.91553,0.40925,1.9704,0.82232,0.97698,0.0001982,0.0001982,0.0001982
93,6402.94,1.40796,0.50877,1.03033,0.93559,0.87246,0.89906,0.4028,1.99409,0.83336,0.97914,0.0001784,0.0001784,0.0001784
94,6471.64,1.41651,0.51555,1.03161,0.93891,0.88713,0.91283,0.40866,1.98596,0.80951,0.97541,0.0001586,0.0001586,0.0001586
95,6540.13,1.40253,0.50978,1.02223,0.9332,0.88299,0.91538,0.40548,1.99183,0.80227,0.98208,0.0001388,0.0001388,0.0001388
