step,elapsed_seconds,total_loss,bbox_l1_loss,bbox_center_l1_loss,bbox_size_l1_loss,giou_loss,position_loss,mean_iou,recall_iou_0.5,center_error_px,width_abs_error,height_abs_error,position_error_mean_m,pred_width_mean,gt_width_mean,pred_height_mean,gt_height_mean
0,0.0,4.183360433578491,0.010616815555840731,0.020828231796622278,0.00040539944893680513,1.9205866694450378,0.2891029745340347,0.0,0.0,216.99089736938475,0.014462407026439906,0.03689269050955772,6.021291875839234,0.010029768105596304,0.02449217503890395,0.02378440983593464,0.06067710015922785
50,22.00594706996344,2.2728149771690367,0.00050491776491981,0.0008393877418711781,0.00017044782507582567,1.1304006934165955,0.00948899183422327,0.08764905333518982,0.0,18.738363218307494,0.021058422792702914,0.013274560682475567,1.0978320330381393,0.045550597831606865,0.02449217503890395,0.07395166084170342,0.06067710015922785
100,42.90099649399053,2.0013855338096618,0.01096944697201252,0.0009683170457719826,0.02097057681530714,0.9718056678771972,0.002926981990458444,0.03025700179859996,0.0,16.60665535926819,0.12830996178090573,0.2593664079904556,0.477871435880661,0.15280213654041291,0.02449217503890395,0.32004350870847703,0.06067710015922785
150,63.55530699295923,1.829661202430725,0.0004270673824066762,0.000600451830541715,0.00025368297792738304,0.9113777101039886,0.004770448966883123,0.21522263288497925,0.0,15.566560745239258,0.014153716992586851,0.02730621937662363,0.4982026919722557,0.038645892031490804,0.02449217503890395,0.08798331953585148,0.06067710015922785
200,84.29211207700428,2.204553008079529,0.0006095836230088026,0.0007086089448421262,0.0005105583055410534,1.0978167653083801,0.005871569784358144,0.09532200526446104,0.0,20.945652723312378,0.025363716389983894,0.03576038014143705,0.8747822284698487,0.04985589142888784,0.02449217503890395,0.0964374803006649,0.06067710015922785
250,104.8698548959801,1.8957376718521117,0.0006418034579837694,0.0005209170485613868,0.0007626898499438539,0.9455307602882386,0.0014671303302748128,0.153846924751997,0.0,19.176781940460206,0.03467934122309089,0.040558337979018685,0.3570693083107471,0.05917151663452387,0.02449217503890395,0.10123543813824654,0.06067710015922785
300,125.40376663499046,2.7644389390945436,0.00040605224785394967,0.0007070964318700134,0.00010500806049549283,1.3788721203804015,0.004664471285650507,0.0017639894038438797,0.0,25.850810241699218,0.004693003464490175,0.009029373712837695,0.6433094587177038,0.028988732025027275,0.02449217503890395,0.06576465256512165,0.06067710015922785
350,145.99635950499214,1.9378197073936463,0.000523532678198535,0.0005725969873310533,0.00047446837525058074,0.9667679846286774,0.0016660424589645118,0.19139537496957928,0.0,16.08246440887451,0.021152034308761357,0.015587948076426984,0.4406276434659958,0.04564420934766531,0.02449217503890395,0.07571800649166108,0.06067710015922785
400,166.69391331495717,1.7618853211402894,0.0003769226128497394,0.0002997152820171323,0.0004541299855191028,0.8784838616847992,0.0030329715460538863,0.22489607632160186,0.05,9.834361302852631,0.016373626235872508,0.015314362198114394,0.420496991276741,0.04086580127477646,0.02449217503890395,0.07034889627248049,0.06067710015922785
450,187.39273378800135,2.10669949054718,0.0012647418829146773,0.00043574821029324085,0.00209373562829569,1.0494051933288575,0.001565434705116786,0.06995637603104114,0.0,22.688566637039184,0.032109913695603606,0.07443336937576532,0.4003803163766861,0.05660208910703659,0.02449217503890395,0.1351104699075222,0.06067710015922785
500,207.8845849330537,1.7828799724578857,0.0011636013747192918,0.00032514032209292055,0.0020020624855533243,0.8864315211772918,0.004198930080747232,0.13141963253729044,0.0,17.97872612476349,0.06349431462585926,0.060041561536490914,0.5217397324740887,0.08798648975789547,0.02449217503890395,0.12071866169571877,0.06067710015922785
550,228.57636162696872,2.0892526626586916,0.0013326722371857613,0.0004680992802605033,0.002197245124261826,1.0404995262622834,0.0015902238024864345,0.06723274560645223,0.0,24.855865669250488,0.03792534619569778,0.08179580308496952,0.32728362642228603,0.06241752114146948,0.02449217503890395,0.14247290417551994,0.06067710015922785
600,249.05821532104164,1.842741894721985,0.0007909055260824971,0.00044189723121235147,0.0011399138224078343,0.9173244357109069,0.004138525412417948,0.1644030950963497,0.0,18.64430718421936,0.0332752070389688,0.04440615344792605,0.8325401484966278,0.05776738189160824,0.02449217503890395,0.10508325323462486,0.06067710015922785
