parameterization,initial_mean_iou,initial_pred_width_mean,initial_pred_height_mean,best_step,best_mean_iou,best_recall_iou_0.5,best_center_error_px,best_width_abs_error,best_height_abs_error,best_position_error_mean_m,final_mean_iou,final_recall_iou_0.5,final_center_error_px,final_width_abs_error,final_height_abs_error,final_position_error_mean_m,source_report
sigmoid_cxcywh,0.0004379894,0.5428928167,0.5569107234,550,0.3999539133,0.5500000000,8.1843591332,0.0073130401,0.0095705302,1.2723985016,0.2000468997,0.0000000000,10.7089969873,0.0053601658,0.0258102259,0.3173744768,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/stage4_bbox_sanity_20260907_123848/bbox_sanity_report.json
sigmoid_center_log_size,0.0000000000,0.0100297681,0.0237844098,400,0.2248960763,0.0500000000,9.8343613029,0.0163736262,0.0153143622,0.4204969913,0.1644030951,0.0000000000,18.6443071842,0.0332752070,0.0444061534,0.8325401485,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/stage4_bbox_parameterization_20260907_131744/bbox_sanity_report.json
