variant,best_epoch,stopped_epoch,mean_center_error_px,median_center_error_px,p_error_lt_2px,p_error_lt_4px,p_error_lt_8px,center_l1_loss,samples,runtime_seconds,parameter_count,selected_train_samples,validation_samples
full_rdq,12,27,32.60752487182617,29.42051124572754,0.0,0.01927710883319378,0.13975903391838074,0.05686813830341919,415,1593.0690514349844,1617479,512,415
no_radar_skip,15,30,32.8138313293457,29.46300506591797,0.014457831159234047,0.033734939992427826,0.07710843533277512,0.05719444846891495,415,1827.1561508260202,1486407,512,415
radar_only,30,45,42.26743698120117,35.03143310546875,0.0,0.0024096386041492224,0.0891566276550293,0.07586756994925349,415,2433.4646875950275,175879,512,415
pure_attention,9,24,37.25305938720703,32.5882568359375,0.016867469996213913,0.026506023481488228,0.05060240998864174,0.06568713376680052,415,1390.4704757930012,1486407,512,415
