intervention,mean_center_error_px,median_center_error_px,p_error_lt_2px,p_error_lt_4px,p_error_lt_8px,center_l1_loss,samples,attention_entropy_normalized,mean_attention_center_error_px,peak_attention_center_error_px,best_head_center_error_px,best_head_index,oracle_best_head_center_error_px,gt_mass_1cell,gt_mass_2cell,uniform_mass_1cell,uniform_mass_2cell,attention_shape_first_batch
normal,32.60751724243164,29.420543670654297,0.0,0.01927710883319378,0.13975903391838074,0.05686812870743045,415,0.828478991985321,236.60060119628906,235.0618438720703,146.1391143798828,0,136.11331176757812,0.0009430109057575464,0.006158108823001385,0.0011588019551709294,0.004632418975234032,"[16, 8, 1, 3456]"
shuffle_image,46.70645523071289,34.63428497314453,0.0,0.0,0.016867469996213913,0.08311463712927807,415,0.8307758569717407,236.55274963378906,206.81027221679688,133.75006103515625,0,124.18262481689453,0.0032098637893795967,0.017446808516979218,0.0011588019551709294,0.004632418975234032,"[16, 8, 1, 3456]"
zero_image,76.6075210571289,69.48308563232422,0.0,0.0,0.0,0.135796342197671,415,0.9945967197418213,216.89126586914062,340.3714294433594,183.14524841308594,0,181.21624755859375,0.0011941242264583707,0.004778026137501001,0.0011588019551709294,0.004632418975234032,"[16, 8, 1, 3456]"
shuffle_radar_same_class,39.53732681274414,29.535919189453125,0.0,0.0072289155796170235,0.05542168766260147,0.06959893511361387,415,0.8300656676292419,236.4834747314453,235.3063507080078,144.96482849121094,0,135.97279357910156,0.0009449369390495121,0.0061751012690365314,0.0011588019551709294,0.004632418975234032,"[16, 8, 1, 3456]"
zero_radar,198.05003356933594,202.768310546875,0.0,0.0,0.0,0.2096080838197685,415,0.9747757315635681,199.73939514160156,129.42330932617188,135.13577270507812,2,134.89797973632812,0.001016297028400004,0.004071643576025963,0.0011588019551709294,0.004632418975234032,"[16, 8, 1, 3456]"
