mode,rank,sequence_id,matched_timestamp_count,MSE_3D,squared_error_sum,overall_squared_error_contribution
full,1,seq0065,285,80.26089179881545,22874.354162662403,0.9766220816730571
full,2,seq0013,239,0.2818811628000568,67.36959790921358,0.0028763494909495183
full,3,seq0066,395,0.2781941953091419,109.88670714711105,0.004691620315006883
full_temporal,1,seq0065,290,77.12207211944413,22365.400914638798,0.9739140236110296
full_temporal,2,seq0066,397,0.2545045116530696,101.03829112626863,0.004399769493296207
full_temporal,3,seq0013,396,0.24319318149084124,96.30449987037314,0.004193633877549372
