timestamp,min_geometric_error,min_corrected_error,max_correction_norm,gt_time_gap_ms
1706258432.896621,0.5695278294106578,0.44051688153134305,0.3763845492937302,8.249998092651367
1706258432.995678,0.7625748484504209,0.5386849106219352,0.3711792631740934,13.876914978027344
1706258433.096662,0.6111271042605894,0.22897512175041992,0.4373396361624452,14.00136947631836
1706258433.196628,0.6504132751144628,0.3598234246796383,0.544946219475888,30.763626098632812
1706258433.296555,0.6902464184817872,0.3243017560477482,0.5667035881710566,14.806032180786133
1706258433.396623,0.608518184161675,0.17411054322892838,0.528948023271874,28.194427490234375
1706258433.495656,0.6240791343786448,0.1946316154877912,0.5794565946519472,2.1016597747802734
1706258433.6966,0.7980983800137751,0.576662945523884,0.3710792724257642,15.832901000976562
1706258433.796684,0.391405246132488,0.6347584811144258,0.3846693170724725,6.134271621704102
1706258433.896653,0.6774269540481582,0.4053966597765099,0.37962709637417646,6.604194641113281
1706258433.995631,0.5577472823177647,0.22341886609388903,0.5228758987942976,6.31260871887207
1706258434.096648,0.654955763885834,0.28008713943649227,0.5534721189292502,36.0569953918457
1706258434.196571,0.5624397599591849,0.32197160466117986,0.5907412150942798,8.121728897094727
1706258434.296694,0.5507156876688439,0.18248942711491808,0.5401730838017195,6.554603576660156
1706258434.396629,0.6058973192157574,0.22505968270100377,0.5925146701145811,6.316900253295898
1706258434.495632,0.6887854866594066,0.46417799903045154,0.4063588229454269,5.499601364135742
1706258434.596628,0.6797358244380014,0.21221384032820384,0.5397067957554281,0.29754638671875
1706258434.696567,0.5921098543868037,0.14690765324704563,0.5927114986864848,6.022930145263672
1706258434.796514,0.641793477971896,0.23835449923193844,0.5511886396774084,7.820367813110352
1706258434.896624,0.610230305756056,0.22239046242169663,0.4918983671841994,6.11424446105957
1706258434.995608,0.6370011775352724,0.2873770872488667,0.6074283708658172,1.407623291015625
1706258435.096623,0.6138948013016654,0.16125695581650265,0.5112781320279538,4.308462142944336
1706258435.19656,0.8750479736307587,0.4814522479538599,0.40463579700891644,7.8868865966796875
1706258435.29652,0.706338220692884,0.46471201838629017,0.3865597836692798,4.895925521850586
1706258435.596645,0.44995542103514247,0.7130462177102259,0.40049557818253356,6.770849227905273
1706258435.696638,0.6869115370301928,0.33001661292553386,0.5363040347084381,7.225513458251953
1706258435.79651,0.6907510810496296,0.1299586031866133,0.5758078242461768,6.054878234863281
1706258435.896601,0.7562747377196393,0.32780465813414694,0.5589950857533862,1.9228458404541016
