model,common_timestamp_count,left_only_timestamp_count,right_only_timestamp_count,comparison_left,comparison_right,samples,MSE_coord,MSE_3D,RMSE_coord,RMSE_3D,mean_3d_error,median_3d_error,MSE_x,MSE_y,MSE_z,MAE_x,MAE_y,MAE_z,geometric_only_timestamp_count,full_only_timestamp_count
GEOMETRIC,4499,0,3,geometric,full,4499,2.0173438673117148,6.052031601935144,1.4203323087614794,2.4600877224064885,1.2630410002795245,0.8811654848667748,0.2426567108160945,5.514665923610584,0.29470896750846526,0.35558487080334983,1.0003804770783808,0.3668249949004904,0,3
FULL,4499,0,3,geometric,full,4499,1.735256198817209,5.205768596451628,1.3172912353831285,2.281615348048752,0.6255586107564497,0.3054909431468515,0.11591563702080923,4.766195944243,0.3236570151878186,0.20135861527089027,0.4620344446407278,0.21322224110412408,0,3
