threshold_m,train_accepted,train_coverage,train_MSE_3D,train_MSE_coord,validation_accepted,validation_coverage,validation_MSE_3D,validation_MSE_coord
0.5,2864,0.09948589690148674,0.15201688870644722,0.05067229623548241,668,0.11200536552649229,0.14261466591304395,0.04753822197101465
1.0,8490,0.29491454772822007,0.41400891586995736,0.13800297195665245,1703,0.2855466130114017,0.3514102697274874,0.11713675657582913
2.0,10979,0.38137418368764764,0.704912301712349,0.23497076723744967,2359,0.3955399061032864,0.8280517827175228,0.27601726090584094
3.0,11011,0.38248575795470335,0.7163153183684702,0.23877177278949005,2443,0.4096244131455399,0.9587432408406282,0.31958108028020943
