model,common_timestamp_count,left_only_timestamp_count,right_only_timestamp_count,comparison_left,comparison_right,samples,MSE_coord,MSE_3D,RMSE_coord,RMSE_3D,mean_3d_error,median_3d_error,MSE_x,MSE_y,MSE_z,MAE_x,MAE_y,MAE_z
FULL,4474,28,998,full,full_temporal,4474,1.7016631494152765,5.1049894482458305,1.3044781138122925,2.2594223704845073,0.6219595213860338,0.3054955359318391,0.11382919202575821,4.672848282516763,0.318311973703309,0.2007271871832736,0.4585107097920534,0.21257947138808542
FULL_TEMPORAL,4474,28,998,full,full_temporal,4474,1.7030464815603144,5.109139444680943,1.3050082304569248,2.260340559446948,0.6089426783574095,0.2942213081539383,0.11067601660029854,4.681233692029245,0.3172297360513988,0.19605786272608713,0.44982106428517005,0.20501583051474004
