variant,freeze_bn,new_modules_lr,step,elapsed_seconds,mean_iou,median_iou,recall_iou_0.5,center_error_px,width_error,height_error,xyz_error_m,bbox_l1,position_loss,box_head_grad_norm,position_head_grad_norm,train_mode_mean_iou,eval_mode_mean_iou,train_eval_iou_gap,bn_mean_abs_running_mean,bn_mean_running_var,bn_min_running_var,bn_max_running_var,bn_num_batches_tracked,bn_num_layers
baseline,False,0.001,50,22.032649639993906,0.0,0.0,0.0,33.93698444366455,0.009179898258298635,0.010405143164098263,0.6575201481580735,0.022099172603338955,0.0037808529450558126,4.44165563583374,1.241136908531189,0.021586971078068017,0.0,0.021586971078068017,0.37753722071647644,0.6018165946006775,0.008272833190858364,4.814676761627197,50,15
baseline,False,0.001,100,44.332137737073936,0.07351904548704624,0.08639859780669212,0.0,17.40234742164612,0.004228549730032683,0.006695409119129181,0.8171824455261231,0.01545015424489975,0.004749022470787167,4.9812517166137695,0.7818298935890198,0.057755286106839776,0.07351904548704624,-0.015763759380206466,0.38409948348999023,0.6150616407394409,0.004524101037532091,5.496896266937256,100,15
baseline,False,0.001,150,66.26210971199907,0.2930659273639321,0.32564571499824524,0.05,10.187158679962158,0.006589325703680515,0.00782775916159153,0.5797463446855545,0.012624273635447025,0.003118436480872333,4.664976119995117,0.7942908406257629,0.09610782561358064,0.2930659273639321,-0.19695810175035147,0.3815796673297882,0.6345770359039307,0.002596277743577957,4.378628730773926,150,15
baseline,False,0.001,200,88.54167397809215,0.12760163191705942,0.1399136334657669,0.0,16.306565380096437,0.001899612694978714,0.003995844721794128,0.7748422153294087,0.011336599057540298,0.0036395496921613813,3.7247047424316406,0.14011795818805695,0.1297245782741811,0.12760163191705942,0.00212294635712168,0.3829973638057709,0.6439943909645081,0.0036648926325142384,4.004539489746094,200,15
baseline,False,0.001,250,110.92319800204132,0.05442072416190058,0.058451322838664055,0.0,17.746014022827147,0.002447850676253438,0.006652254611253738,0.3189773835241795,0.015727918595075607,0.001113852349226363,4.4293532371521,0.39218875765800476,0.10704018489923328,0.05442072416190058,0.0526194607373327,0.3868876099586487,0.6511674523353577,0.004287390038371086,5.061320781707764,250,15
baseline,False,0.001,300,133.05870961409528,0.13474847059696912,0.15831506997346878,0.0,14.080721521377564,0.0033810106106102467,0.00417986735701561,0.40620882362127303,0.011974894627928733,0.001978462841361761,4.71891450881958,0.05940559506416321,0.17095633428543805,0.13474847059696912,0.03620786368846893,0.391105055809021,0.6641737818717957,0.00624680332839489,5.835592269897461,300,15
baseline,False,0.001,350,155.1022263870109,0.10964793041348457,0.1080487072467804,0.0,13.326588249206543,0.005842997506260872,0.010430094599723817,0.39943592697381974,0.013019815180450678,0.0012429390451870858,4.489381790161133,0.3108792304992676,0.17321802955120802,0.10964793041348457,0.06357009913772345,0.39955705404281616,0.6731640696525574,0.007853178307414055,6.811315059661865,350,15
baseline,False,0.001,400,177.0609811800532,0.18979696035385132,0.17876679450273514,0.0,12.062380123138428,0.0023750988766551018,0.0063323164358735085,0.49289378598332406,0.011331168841570616,0.0017331866198219358,4.09945011138916,0.10586121678352356,0.17735691124398728,0.18979696035385132,-0.012440049109864043,0.40449652075767517,0.680574893951416,0.006728040985763073,5.8082756996154785,400,15
baseline,False,0.001,450,199.3148891980527,0.031840047051082364,0.004086165223270655,0.0,17.350990438461302,0.004431281518191099,0.009184274077415466,0.31940301805734633,0.012250331696122885,0.0009210433621774427,2.7103970050811768,0.3349643349647522,0.06440578997135163,0.031840047051082364,0.032565742920269265,0.4050450325012207,0.6868701577186584,0.009676407091319561,6.475188732147217,450,15
baseline,False,0.001,500,221.28057256503962,0.5125506788492202,0.6444977819919586,0.7,5.392214691638946,0.0034846456721425055,0.004659194685518742,0.19936384093016385,0.006290777679532766,0.0004030642878205981,2.7823517322540283,0.20722144842147827,0.3169517146423459,0.5125506788492202,-0.19559896420687434,0.40515872836112976,0.6890466213226318,0.009452763013541698,6.314670562744141,500,15
baseline,False,0.001,550,243.20731949503534,0.05225916458293796,0.044898614287376404,0.0,18.923627853393555,0.0018389261327683925,0.011791662126779557,0.28046811148524287,0.012411512713879348,0.000998790661105886,4.494490623474121,0.08489030599594116,0.09850406748009846,0.05225916458293796,0.0462449028971605,0.4023919701576233,0.7113519310951233,0.006942171137779951,6.953676700592041,550,15
baseline,False,0.001,600,265.1318833610276,0.003006432484835386,0.0,0.0,21.590616035461426,0.005101991724222899,0.012531468831002712,0.6567109376192093,0.014587932266294956,0.003433883615070954,1.3594878911972046,0.15994104743003845,0.09405695293098688,0.003006432484835386,0.0910505204461515,0.40795838832855225,0.7030936479568481,0.008821546100080013,7.459702968597412,600,15
freeze_bn,True,0.001,50,22.177152968011796,0.06300921174697578,0.08244211971759796,0.0,21.413316869735716,0.00226881206035614,0.004327936284244061,0.8041130483150483,0.01943387556821108,0.00550856338813901,5.767724990844727,1.3566644191741943,0.05830659018829465,0.06300921174697578,-0.004702621558681133,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,100,43.957508587045595,0.0,0.0,0.0,30.098522472381593,0.01310840593650937,0.023557409271597864,1.2444042444229126,0.024980508908629417,0.009099399764090776,5.764737606048584,0.772351086139679,0.025041821599006652,0.0,0.025041821599006652,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,150,65.68804408202413,0.022113759955391287,0.018812467344105244,0.0,21.233508682250978,0.0017511287704110145,0.004736826941370964,0.5949237942695618,0.013859940553084015,0.0030519919469952582,4.569850444793701,0.7753553986549377,0.058204180048778656,0.022113759955391287,0.036090420093387365,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,200,87.58081729302648,0.13717639534734188,0.07279765605926514,0.1,13.211682164669037,0.003691791743040085,0.0062566928565502165,0.9990370959043503,0.013762033497914671,0.007119931816123426,4.918190002441406,0.23710614442825317,0.06596173957223073,0.13717639534734188,-0.07121465577511116,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,250,109.18761988903861,0.08850365015678108,0.07891714945435524,0.0,15.511555337905884,0.0018103173933923244,0.003906508907675743,0.42971455827355387,0.012171597126871348,0.0023102362087229268,4.469666481018066,0.20489926636219025,0.1672310248017311,0.08850365015678108,0.07872737464495003,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,300,131.47235176397953,0.2390942670404911,0.2297355905175209,0.05,11.335954236984254,0.003917231038212776,0.007668356038630008,0.2946529649198055,0.010938982758671046,0.0010046248993603514,4.304018974304199,0.276533305644989,0.2599227923899889,0.2390942670404911,0.02082852534949778,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,350,153.60887830797583,0.14543948993086814,0.12940196692943573,0.05,11.963280963897706,0.00640225550159812,0.012303421460092067,0.3429140143096447,0.011701877508312464,0.0008897616498870775,4.191729545593262,0.37940269708633423,0.12995866232085973,0.14543948993086814,-0.015480827610008407,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,400,175.40052085695788,0.17383106276392937,0.15404591709375381,0.05,11.947670376300811,0.003576173726469278,0.007040917314589024,0.5090572699904442,0.010156422154977918,0.0016018122143577785,3.984562873840332,0.10854217410087585,0.15578473638743162,0.17383106276392937,-0.01804632637649775,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,450,197.75668855698314,0.5921070903539658,0.6101741790771484,0.65,4.283447900414467,0.003776268847286701,0.005285563133656979,0.24199746549129486,0.006053489469923079,0.0006406094558769837,4.280032157897949,0.18168430030345917,0.30938676856458186,0.5921070903539658,-0.28272032178938394,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,500,219.72464540798683,0.20277022160589694,0.2362970933318138,0.0,11.327277278900146,0.0017760444432497024,0.0041413592174649235,0.21306024603545665,0.010183562850579619,0.0005768790346337482,3.0475618839263916,0.07321955263614655,0.22095208372920752,0.20277022160589694,0.018181862123310577,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,550,241.52268507203553,0.13265967334154993,0.1597381830215454,0.0,15.95457901954651,0.00222276346758008,0.0058293091133236885,0.9150973871350289,0.010600326722487808,0.00527487174840644,4.184391021728516,0.09879466146230698,0.15371745880693197,0.13265967334154993,0.021057785465382034,0.0,1.0,1.0,1.0,0,15
freeze_bn,True,0.001,600,263.76548510196153,0.007289019139534503,0.0,0.0,21.299396514892578,0.007774725649505853,0.016328356135636567,0.24175586849451064,0.02350584603846073,0.0006212073494680226,2.8465826511383057,0.06981941312551498,0.03684190509375185,0.007289019139534503,0.029552885954217345,0.0,1.0,1.0,1.0,0,15
low_lr,False,0.0001,50,22.23205740994308,0.21827096343040467,0.202995166182518,0.05,13.530762243270875,0.0038440383039414884,0.011803192831575871,0.5061993286013603,0.016242436598986387,0.003772900300100446,4.996707916259766,1.0676532983779907,0.12463158704340457,0.21827096343040467,-0.0936393763870001,0.3934967815876007,0.6380717158317566,0.010845699347555637,5.286128044128418,50,15
low_lr,False,0.0001,100,44.1772153750062,0.0003884645877406001,0.0,0.0,23.72789363861084,0.0020641569048166276,0.0090199152007699,0.5851237714290619,0.017507659457623958,0.0038358430261723696,5.727029800415039,1.318019986152649,0.07842508759349584,0.0003884645877406001,0.07803662300575524,0.3993488550186157,0.6484289765357971,0.007519222795963287,5.776892185211182,100,15
low_lr,False,0.0001,150,66.20984914700966,0.16273583211004733,0.17417221516370773,0.0,15.262702465057373,0.0022659234702587126,0.004568505845963955,0.38698823377490044,0.012723848270252348,0.0028418299814802596,5.087098598480225,1.2506849765777588,0.10749783320352435,0.16273583211004733,-0.05523799890652298,0.4021437168121338,0.6608140468597412,0.011492766439914703,6.1270856857299805,150,15
low_lr,False,0.0001,200,88.44852875696961,0.1286112954840064,0.13359568268060684,0.0,16.308458852767945,0.0020285867154598235,0.004453994333744049,0.30623722188174723,0.01267550913617015,0.002561674975731876,5.448894023895264,0.8279156684875488,0.1596310030668974,0.1286112954840064,0.031019707582890993,0.4016527533531189,0.6701000928878784,0.008907394483685493,5.455984115600586,200,15
low_lr,False,0.0001,250,111.21587124397047,0.3056883528828621,0.4117017388343811,0.05,12.531191563606262,0.0018772441893815995,0.005909996852278709,0.39965244084596635,0.012694143922999501,0.0026254727185005323,5.156332492828369,0.8203997611999512,0.06820231458405032,0.3056883528828621,-0.2374860382988118,0.4032633304595947,0.6834436655044556,0.0076665268279612064,5.16800594329834,250,15
low_lr,False,0.0001,300,133.19180018792395,0.42173394560813904,0.4739198237657547,0.45,8.78701149225235,0.0017948533408343793,0.006369496323168277,0.8379357725381851,0.009969419660046696,0.004688156116753816,4.053685665130615,1.3270378112792969,0.1949952242895961,0.42173394560813904,-0.22673872131854295,0.40523308515548706,0.6852655410766602,0.010112795047461987,4.634246349334717,300,15
low_lr,False,0.0001,350,155.71895604894962,0.2930444128811359,0.2918951213359833,0.1,10.13647519350052,0.0018260163255035878,0.007947525195777416,0.25152104292064903,0.011623332113958895,0.0016125883070344572,4.97608757019043,0.7063249349594116,0.12953480388969182,0.2930444128811359,-0.1635096089914441,0.40522852540016174,0.6963301301002502,0.00855490006506443,4.703763008117676,350,15
low_lr,False,0.0001,400,178.41970086097717,0.09147136164829135,0.08589622005820274,0.0,16.805246019363402,0.003415861539542675,0.007752391137182712,0.5036073893308639,0.016468252521008253,0.0022640763083472846,4.021275043487549,0.7763218879699707,0.08752408031214146,0.09147136164829135,-0.0039472813361498965,0.4070282280445099,0.7102227807044983,0.008273759856820107,4.8265485763549805,400,15
