name,freeze_bn,new_modules_lr,best_step,best_mean_iou,best_recall_iou_0.5,best_center_error_px,best_width_error,best_height_error,best_xyz_error_m,tail_mean_iou,tail_std_iou_sample,tail_min_iou,tail_mean_abs_train_eval_gap,tail_signed_train_eval_gap,final_iou,final_recall_iou_0.5,final_train_mode_iou,final_train_eval_iou_gap,final_bn_mean_abs_running_mean,final_bn_mean_running_var,final_bn_min_running_var,final_bn_max_running_var,final_bn_num_batches_tracked
baseline,False,0.001,500,0.5125506788492202,0.7,5.392214691638946,0.0034846456721425055,0.004659194685518742,0.19936384093016385,0.15789065666438545,0.21085399851212883,0.003006432484835386,0.07558003591606392,-0.007635569410631424,0.003006432484835386,0.0,0.09405695293098688,0.0910505204461515,0.40795838832855225,0.7030936479568481,0.008821546100080013,7.459702968597412,600
freeze_bn,True,0.001,450,0.5921070903539658,0.65,4.283447900414467,0.003776268847286701,0.005285563133656979,0.24199746549129486,0.2217314134409753,0.2200860217037992,0.007289019139534503,0.07391183634175832,-0.046394822924594355,0.007289019139534503,0.0,0.03684190509375185,0.029552885954217345,0.0,1.0,1.0,1.0,0
low_lr,False,0.0001,500,0.4399728044867516,0.6,8.648188924789428,0.001959202066063881,0.0043455448001623155,0.38928156942129133,0.2336929967440665,0.1570690383273926,0.09147136164829135,0.11053390353670693,-0.11053390353670693,0.13900328017771243,0.0,0.12074808387551457,-0.018255196302197865,0.4082108736038208,0.7289993166923523,0.0107685262337327,4.032651901245117,600
